Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 3,就此XX,Книжное наречие: «на этом / с этого момента»; действие или состояние здесь заканчивается или меняется.,После дружных переговоров стороны сразу заключили соглашение о сотрудничестве.,Из-за маленького недоразумения их дружба на этом оборвалась — жаль.,Хватит спорить о прошлом — пусть обиды с этого момента сойдут на нет.
Chapter 3,无可XX,Отрицательная конструкция: «нечем / нельзя …»; сочетается с определёнными глаголами.,Перед этим ударом он улыбнулся улыбкой безвыходности.,Анализ подкреплён железными доказательствами — вывод бесспорен.,На вопросы о коммерческой тайне пресс-секретарь ответил: комментариев не будет.
Chapter 4,足以,"Значение 1: «достаточно, чтобы …»; достигнута нужная степень для результата.","Опыт, накопленный за годы, вполне достаточен, чтобы занять должность руководителя.","Одной этой улики достаточно, чтобы опровергнуть все прежние лжи обвиняемого.","Красивое пианино за окном достаточно, чтобы успокоить всю его тревогу."
Chapter 4,足以,"Значение 2: 不足以 / риторика «разве … достаточно» — недостаточность, сомнение в пороге.","Удобная оплата — хорошо, но одного этого недостаточно, чтобы привлечь всех пожилых.","Устного извинения недостаточно, чтобы возместить ущерб фирме из-за его небрежности.","Неужели эта мелочь достаточна, чтобы бросить музыкальную мечту многих лет?"
Chapter 4,随之而起,Книжный оборот: «вслед за этим возникает»; вторичное явление после первичного события.,С распространением смартфонов вслед поднялись мобильные платежи и стриминг.,На совещании предложили радикальный план — сразу посыпались голоса сомнения.,С возрождением интереса к традициям появились студии ханьфу и бренды в старинном стиле.
Chapter 4,起码,Значение 1: наречие «как минимум / по меньшей мере»; нижняя планка.,"Чтобы сдать профессиональный экзамен по фортепиано, нужно заниматься минимум три часа в день.",По темпам стройки этому большому залу нужно ещё как минимум полгода.,"Как ни занят, позвонить старшим родственникам — это же можно хотя бы?"
Chapter 4,起码,Значение 2: прилагательное «базовый / элементарный»; минимальные нормы.,Не перебивать собеседника — это элементарное уважение.,Для журналиста искать правду — основная профессиональная этика.,Твои догадки дырявые — в них нет даже базовой логики.
Chapter 4,过于,Книжное наречие «слишком»; стоит перед двусложным прилагательным или глаголом психики.,Он слишком нерешителен при выборе и упустил выгодные инвестиции.,Родителям не нужно слишком вмешиваться в быт детей — лучше учить самостоятельности.,Вывод отчёта написан слишком оптимистично и игнорирует финансовые риски.
Chapter 4,以……著称,"Книжная рамка: «славится … / известен тем, что …».",Этот столетний ресторан славится внимательным сервисом и свежими продуктами.,Молодой гоист известен на турнирах быстрой игрой и агрессивным стилем.,Этот водный городик на юге славится пейзажем и глубокой традиционной культурой.
Chapter 4,幸好,"«К счастью»; то, что не дало ситуации стать катастрофой; часто с «иначе».","К счастью, я взял зонт — иначе бы ночной ливень промочил насквозь.","К счастью, спасатели приехали быстро — раненых сразу вытащили из-под завалов.","На сцене чуть не забыл текст, но взгляд учителя внизу помог успокоиться."
Chapter 5,给……以……,"Книжная конструкция: «даровать / предоставить кому-то что-то абстрактное» (поддержка, доверие, наказание).",Власти оказали мастерам в трудном положении огромную финансовую поддержку.,Доверительный взгляд учителя дал мне уверенность сдать финальный экзамен по фортепиано.,За списывание на экзамене школе обязательно вынесут строгое наказание.
Chapter 5,纯属……,«В чистом виде … / исключительно …»; других вариантов нет.,"Встретиться на улице чужой страны — чистая случайность, договорённости не было.","Слух о закрытии культурного центра — чистая выдумка, не верьте слепо.",Вырости в такой изысканной среде — для него чистая удача.
Chapter 5,急于……,"«Спешить …»; психологическая торопливость, часто с негативным итогом.",Многие родители спешат получить сертификат ребёнку и забывают про базовую практику.,Под жёсткими вопросами начальника он спешил оправдаться — и только усугубил дело.,"Новички спешат доказать силу — это понятно, но нужно копить опыт спокойно."
Chapter 5,至于……,Значение 1: смена темы — «что касается … / а вот …».,Сейчас главное — дописать диплом; а поиск работы оставим на следующий месяц.,Железо у нового телефона мощное; удобен ли интерфейс — покажут отзывы.,Сцену для таланта дадим; выделишься ли ты — зависит от долгой работы.
Chapter 5,至于……,Значение 2: предел степени (不至于 / 何至于) — «не до такой степени / неужели до …».,"Плохо сдал экзамен — не обязательно злиться так, что не пускать есть.",Из-за мелкого разногласия неужели рвать дружбу?,"Жить скромно — да, но чтобы даже сытого обеда не было — до этого не дойдёт."
Chapter 5,予以……,Официальный глагол: «оказать / предоставить / применить» (формальная замена 给).,Пиар-отдел сегодня днём проведёт брифинг и даст разъяснения по слухам о финансах.,Благодарим горожан за понимание и помощь при создании городского леса.,Предложение конструктивное — руководство обязательно серьёзно его рассмотрит.
