Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,风行 - 流行,流行 (liúxíng),"Обычное широкое слово для того, что в определённое время нравится людям, часто используется или принято.",Может усиливаться наречиями степени; также употребляется о распространении болезней.,Сейчас среди молодёжи очень популярна одежда в винтажном стиле.,"Мелодия этой популярной песни простая, её запоминаешь с первого раза."
Chapter 3,夸张 - 夸大,夸张 (kuāzhāng),Может быть нейтральным художественным приёмом преувеличения или описывать слишком театральную речь и поведение.,"Употребляется как прилагательное, а в риторике и искусстве также как существительное или глагол.","Карикатуристы часто используют приём преувеличения, чтобы подчеркнуть черты лица персонажа.","Она всего лишь слегка поранилась, так что плакать настолько сильно было, пожалуй, чересчур драматично."
Chapter 3,夸张 - 夸大,夸大 (kuādà),"Отрицательный глагол: намеренно раздувать факты, цифры или ситуацию, искажая правду.","Переходный глагол, которому нужен прямой объект: преувеличивать факты, болезнь, трудности.","Реклама этой компании явно преувеличила реальные свойства товара и, похоже, вводит потребителей в заблуждение.","Столкнувшись с трудностями, нужно говорить по фактам: нельзя ни скрывать, ни раздувать правду."
Chapter 4,赞许 - 赞同,赞许 (zànxǔ),Одобрение с оттенком восхищения и похвалы; часто от старшего или начальника к младшему или подчинённому.,"Часто употребляется как существительное: одобрительный взгляд, получить одобрение.","Увидев, как Сяомин сам уступил место пожилому человеку, учитель посмотрел на него с одобрением.",Его новаторская идея получила единодушное одобрение руководства компании.
Chapter 4,赞许 - 赞同,赞同 (zàntóng),"Согласие с мнением, предложением или позицией; обычно между равными и без обязательной похвалы.","Глагол; объектом часто бывает мнение, план, подход или человек, с чьей точкой зрения согласны.","Выслушав его анализ рынка, большинство менеджеров согласились с его мнением.","Я не согласен с подходом, при котором ради скорости жертвуют качеством продукта."
Chapter 4,快捷 - 敏捷,快捷 (kuàijié),"О сервисах, системах, транспорте, инструментах и способах, которые экономят время и работают эффективно.","Обычно описывает абстрактные услуги, процедуры и способы выполнения действия.",Сегодня интернет сделал передачу информации очень быстрой и удобной: за несколько секунд она уходит в любую точку мира.,"Метро — один из самых быстрых и удобных видов городского транспорта, с ним не нужно беспокоиться о пробках."
Chapter 4,快捷 - 敏捷,敏捷 (mǐnjié),"О быстрых, ловких и скоординированных движениях человека, а также о живом уме и быстрой реакции.","Описывает человеческие действия, тело, мышление и реакцию.","Не смотри, что этот пожилой человек в возрасте: его движения по-прежнему очень ловкие.","Программисту нужно быстрое мышление, чтобы за короткое время находить ошибки в коде."
Chapter 4,预测 - 推测,预测 (yùcè),"Прогнозировать будущий результат на основе данных, моделей, статистики или профессиональных расчётов.",Может быть глаголом и существительным; обычно сочетается с будущими явлениями и результатами.,Метеорологическая служба прогнозирует завтра днём сильнейший ливень и советует жителям меньше выходить из дома.,"Эксперты сейчас прогнозируют, как искусственный интеллект повлияет на рынок труда в ближайшие пять лет."
Chapter 4,预测 - 推测,推测 (tuīcè),"Делать вывод, предполагать или восстанавливать неизвестные факты, прошлые события, мотивы и причины по уликам и логике.","Связано с рассуждением, намерениями, причинами и прошлым или текущим положением дел.","По следам, оставленным на месте происшествия, полиция предположила, что рост подозреваемого около метра восьмидесяти.","По её покрасневшим опухшим глазам можно было понять, что она только что сильно плакала."
Chapter 4,过于 - 过分,过于 (guòyú),Книжное наречие со значением чрезмерной степени; относительно объективно описывает состояние или чувство.,Только наречие; после него обязательно следует прилагательное или глагол.,"В работе он чрезмерно стремился к совершенству, и из-за этого сроки проекта затянулись.",Родителям не стоит слишком тревожиться о будущем детей; нужно дать им шанс самостоятельно столкнуться с миром.
Chapter 4,过于 - 过分,过分 (guòfèn),"О словах или поступках, которые перешли моральную или приемлемую границу; звучит как сильное недовольство или упрёк.",Может быть прилагательным и самостоятельно выступать сказуемым; также употребляется как наречие.,Громко отчитывать официанта в общественном месте — это действительно уже слишком.,"Да, он ошибся, но заставлять его прилюдно становиться на колени — тоже слишком жестокое наказание."
Chapter 4,快速 - 迅速,快速 (kuàisù),Подчёркивает устойчиво высокую скорость в течение некоторого времени; нейтральное фактическое описание.,"Часто стоит перед существительным как определение: скоростной проход, товары быстрого потребления.",С быстрым развитием города бывшие пригороды уже превратились в оживлённые коммерческие районы.,"Это эпоха быстрого получения информации, но фрагментарное чтение лишает людей способности глубоко мыслить."
Chapter 4,快速 - 迅速,迅速 (xùnsù),Подчёркивает немедленную реакцию или быстрое изменение сразу после события-триггера.,"Часто употребляется как наречие для действий без промедления: быстро эвакуироваться, быстро отреагировать.",После начала пожара пожарные быстро прибыли на место и взяли огонь под контроль.,"Услышав стук в дверь, щенок тут же спрыгнул с дивана, побежал к двери и завилял хвостом."
Chapter 5,依赖 - 依靠,依赖 (yīlài),"Часто несёт отрицательный оттенок: неспособность быть самостоятельным, нездоровая опора или зависимость.",Сочетается с абстрактными объектами; часто используется в конструкции «сформировать зависимость от чего-либо».,Многие современные дети чрезмерно зависят от контроля родителей и совсем не умеют учиться самостоятельно.,"Долго полагаться на лекарства, чтобы снять тревогу перед экзаменами, — не настоящее решение проблемы."
Chapter 5,依赖 - 依靠,依靠 (yīkào),"Нейтральное или положительное слово: опираться на прочную основу, защиту, помощь, доход или источник сил.","Может быть глаголом и существительным со значением «опора», «тот или то, на кого можно положиться».","Много лет работая вдали от дома, он всегда держался благодаря твёрдой поддержке семьи.","Чтобы успешно сдать экзамен по фортепиано, нельзя рассчитывать только на удачу; нужна долгая упорная практика."
Chapter 5,营造 - 营建,营造 (yíngzào),"Создавать абстрактную среду, атмосферу, настроение или культурный климат.","Почти всегда сочетается с абстрактными словами типа «атмосфера», «среда», «настрой».","Родителям стоит создавать дома хорошую атмосферу высокого искусства, чтобы ребёнок впитывал её с детства.",К юбилею школы преподаватели и ученики вместе создали радостную и тёплую праздничную атмосферу.
Chapter 5,营造 - 营建,营建 (yíngjiàn),"Строить крупные материальные объекты: сооружения, здания, инфраструктуру или географические защитные зоны.",Сочетается с конкретными архитектурными и географическими объектами.,Правительство планирует создать на севере города крупный экологический защитный лес.,"Когда этот древний храм строили несколько сотен лет назад, на него ушло огромное количество людей и материалов."
Chapter 5,指点 - 指示,指点 (zhǐdiǎn),"Совет, подсказка или наставление, которое помогает решить конкретную проблему или улучшить навык; стиль неофициальный.",Может напрямую брать человека как объект: попросить кого-то наставить или подсказать.,"К счастью, благодаря наставлениям профессора я наконец понял глубокий смысл этой симфонии.","Если бы старшекурсник не подсказал мне тему диплома, выпускной проект занял бы ещё недели две."
Chapter 5,指点 - 指示,指示 (zhǐshì),"Официальное распоряжение, директива или указание от вышестоящего органа или начальства подчинённым.",Употребляется как существительное или как переходный глагол в официально-административном контексте.,Мы должны строго следовать указаниям вышестоящего отдела и полностью проверить случаи списывания на экзамене.,Менеджер только что прислал распоряжение: всем сотрудникам нужно сдать отчёт за месяц до конца рабочего дня.
Chapter 5,敏捷 - 灵敏,敏捷 (mǐnjié),"О быстроте, ловкости и скоординированности человеческих мыслей или действий.","Описывает человека: гибкое мышление, ловкие движения, быструю реакцию.",У него очень живой ум: на дебатах он мгновенно находит слабые места в логике соперника.,Этот акробат двигался ловко и легко выполнял сложные элементы в воздухе.
Chapter 5,敏捷 - 灵敏,灵敏 (língmǐn),"О высокой чувствительности чувств, приборов, сенсоров и их точной реакции на внешние раздражители.","Описывает органы чувств и точные технические устройства: чувствительный слух, прибор, датчик.","Люди, часто соприкасающиеся с природой, обычно тоньше чувствуют красоту повседневной жизни.",Этот новый электронный тюнер очень чувствителен: он определяет даже малейшую фальшь гитарной струны.
Chapter 5,延伸 - 延长,延伸 (yánshēn),"О пространственном направлении или географической длине: линия, дорога, граница или объект тянется дальше.","Объекты связаны с пространством и географией: дорога тянется вдаль, взгляд уходит дальше.","Новая линия скоростной железной дороги будет продлена на запад ещё на пятьсот километров, что сильно облегчит жизнь жителям вдоль маршрута.",Его взгляд прошёл сквозь окно и потянулся до знакового здания в конце улицы.
Chapter 5,延伸 - 延长,延长 (yáncháng),"О времени, сроке или длительности: сделать определённый период длиннее, чем было запланировано.","Объектом является время или продолжительность: продлить жизнь, часы работы, крайний срок.","Чтобы дать экзаменующимся больше времени на повторение, библиотека решила продлить часы работы до поздней ночи.",Здоровый режим дня и больше овощей с фруктами — вполне хороший способ продлить жизнь.
