"category","Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"chengyu","November 2025/成语","与时俱进","yǔshíjùjìn","keep on developing and advancing with the passing of time；keep abreast of the times 具有与时俱进的特点 jùyǒu yǔshíjùjìn de tèdiǎn possess the character of keeping pace with the times；abreast of modern developments；比喻keep up with the times","keep on developing and advancing with the passing of time；keep abreast of the times 具有与时俱进的特点 jùyǒu yǔshíjùjìn de tèdiǎn possess the character of keeping pace with the times；abreast of modern developments；to keep up with the times；progressive；timely","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","与生俱来","yǔshēngjùlái","F.E. be born with；inherent；innate","F.E. be born with；inherent；innate","成语","","中性","他的勇气是与生俱来的。","Tā de yǒngqì shì yǔshēngjùlái de.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","东奔西走","dōngbēnxīzǒu","F.E. run about busily；比喻run this way and that (idiom)；to rush about busily；比喻bustle about；比喻hopscotch","F.E. run about busily；to run this way and that；to rush about busily；to bustle about；to hopscotch；also 東跑西顛|东跑西颠","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","两点一线","liǎng diǎn yī xiàn","PHRASE back and forth between two places","PHRASE back and forth between two places","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","乐不思蜀","lèbùsīshǔ","so happy as to forget home and duty；indulge in pleasures","so happy as to forget home and duty；indulge in pleasures","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","争先恐后","zhēngxiānkǒnghòu","strive to be the first and fear being left behind","strive to be the first and fear being left behind","成语","","中性","争先恐后地报名参军 Zhēngxiānkǒnghòu de bàomíng cānjūn vie with each other to sign up for military service 一帮人争先恐后地抢好座位。","Zhēngxiānkǒnghòu de bàomíng cānjūn vie with each other to sign up for military service 一帮人争先恐后地抢好座位。 yī bāng rén zhēngxiānkǒnghòu de qiǎng hǎo zuòwèi.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","互不干涉内政","hù bù gānshè nèizhèng","not interfere in each other’s internal affairs","not interfere in each other’s internal affairs","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","五音不全","wǔyīnbùquán","cannot carry a tone；be a poor singer","cannot carry a tone；be a poor singer","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","人不可貌相","rén bù kě mào xiàng","never judge a person by his appearance；You can't judge people by appearances. or Don't judge a book by its cover；you can't judge a person by appearance (idiom)；you can't judge a book by its cover","never judge a person by his appearance；You can't judge people by appearances. or Don't judge a book by its cover；you can't judge a person by appearance；you can't judge a book by its cover；often in combination 人不可貌相，海水不可斗量","成语","","中性","","You can't judge people by appearances.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","优胜劣汰","yōushèngliètài","F.E. survival of the fittest","F.E. survival of the fittest","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","倾盆大雨","qīngpéndàyǔ","heavy downpour；torrential rain","heavy downpour；torrential rain","成语","赶上一场倾盆大雨；下起了倾盆大雨","中性","赶上一场倾盆大雨 gǎnshàng yī cháng qīngpéndàyǔ be caught in a downpour 下起了倾盆大雨。","Xià qǐ le qīngpéndàyǔ.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","光明磊落","guāngmínglěiluò","open and aboveboard tā wéirén guāngmínglěiluò","open and aboveboard tā wéirén guāngmínglěiluò","成语","他为人光明磊落","中性","他为人光明磊落。","He is open and aboveboard with others.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","入乡随俗","rùxiāngsuísú","When you enter a village, follow the local customs；do as the natives do；When in Rome, do as the Romans do","When you enter a village, follow the local customs；do as the natives do；When in Rome, do as the Romans do","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","全神灌注","quánshénguànzhù","rapture","rapture","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","关山迢递","guānshāntiáodì","成语，形容关山阻隔、路途遥远。","remote frontier passes far away","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","内心世界","nèixīn shìjiè","N. a person's inner world","N. a person's inner world","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","出乎意料","chūhūyìliào","unexpected","unexpected","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","出口成章","chūkǒuchéngzhāng","Words flow from the mouth as from the pen of a master.—be an excellent speaker；(idiom) (of one's speech) eloquent；articulate","Words flow from the mouth as from the pen of a master.—be an excellent speaker；(of one's speech) eloquent；articulate","成语","","中性","","Words flow from the mouth as from the pen of a master.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","别有洞天","biéyǒudòngtiān","place of charm and beauty；scenery of exceptional charm；completely different world","place of charm and beauty；scenery of exceptional charm；completely different world","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语；November 2025/成语","十万火急","shíwànhuǒjí","most urgent；posthaste；express；most urgent；posthaste；express","most urgent；posthaste；express；most urgent；posthaste；express","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","千辛万苦","qiānxīnwànkǔ","innumerable trials and tribulations；比喻suffer untold hardships (idiom)；trials and tribulations；with difficulty；after some effort","innumerable trials and tribulations；to suffer untold hardships；trials and tribulations；with difficulty；after some effort","成语","历尽千辛万苦","中性","历尽千辛万苦 Lìjìn qiānxīnwànkǔ go through innumerable (or untold) hardships 他幼年丧父, 母亲在千辛万苦中把他扶养成人。","Lìjìn qiānxīnwànkǔ go through innumerable (or untold) hardships 他幼年丧父, 母亲在千辛万苦中把他扶养成人。 Tā yòunián sàng fù, mǔqin zài qiānxīnwànkǔ zhōng bǎ tā fúyǎng chéngrén.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","升级换代","shēngjíhuàndài","(of manufactured products) upgrade and update jìnjǐnián lái shùmǎ chǎnpǐn deshēngjíhuàndài yuèláiyuè kuài","(of manufactured products) upgrade and update jìnjǐnián lái shùmǎ chǎnpǐn deshēngjíhuàndài yuèláiyuè kuài","成语","","中性","近几年来数码产品的升级换代越来越快。","The upgrading and updating of digital products have accelerated for the past several years.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","发酒疯儿","fā jiǔfēngr","O. get drunk and behave irrationally","O. get drunk and behave irrationally","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025；December 2025/成语","各抒己见","gèshūjǐjiàn","F.E. each airs his own views；F.E. each airs his own views","F.E. each airs his own views；F.E. each airs his own views","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","哄堂大笑","hòng táng dà xiào","眾人同時大笑。見「哄堂」條。 元．陶宗儀《南村輟耕錄．卷二四．待士鄙吝》 言未已, 子素復加一句云：『諸佛菩薩摩訶薩。』俱不解其意。子素曰：『此謝語, 即僧家懺悔也。』鬨堂大笑而散。 《紅樓夢．第四一回》 眾人聽了, 鬨堂大笑起來。 亦作「哄堂大笑」。","眾人同時大笑。見「哄堂」條。 元．陶宗儀《南村輟耕錄．卷二四．待士鄙吝》 言未已, 子素復加一句云：『諸佛菩薩摩訶薩。』俱不解其意。子素曰：『此謝語, 即僧家懺悔也。』鬨堂大笑而散。 《紅樓夢．第四一回》 眾人聽了, 鬨堂大笑起來。 亦作「哄堂大笑」。","成语","哄堂大笑","中性","眾人同時大笑。","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","坐立不安","zuòlìbùān","feel uneasy whether sitting or standing—fidgety；on tenterhooks；extremely worried","feel uneasy whether sitting or standing—fidgety；on tenterhooks；extremely worried","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","多姿多彩","duōzīduōcǎi","diversity (of forms and colors)","diversity (of forms and colors)","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","大义灭亲","dàyìmièqīn","比喻place righteousness before family；ready to punish one's own family if justice demands it","to place righteousness before family；ready to punish one's own family if justice demands it","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","大千世界","dàqiānshìjiè","the kaleidoscopic world；great wide world；marvelously diverse world；(Buddhism) cosmos (abbr. for 三千大千世界[san1 qian1 da4 qian1 shi4 jie4])","the kaleidoscopic world；great wide world；marvelously diverse world；(Buddhism) cosmos (abbr. for 三千大千世界 )","成语","","贬义","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","大吉大利","dàjídàlì","great luck, great profit；everything is thriving","great luck, great profit；everything is thriving","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","大手大脚","dàshǒudàjiǎo","大手大脚；奢侈；wasteful","extravagant；to throw away money by the handful；wasteful","成语","","贬义","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","大汗淋漓","dàhànlínlí","dripping with sweat","dripping with sweat","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","大饱眼福","dàbǎoyǎnfú","比喻feast one's eyes","to feast one's eyes","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","天涯海角","tiānyáhǎijiǎo","ends of the earth","ends of the earth","成语","哪怕追到天涯海角","中性","哪怕追到天涯海角, 也要把他们归案法办。","We will hunt them down, even to the four corners of the earth, and will bring them to trial.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","夫唱妇随","fūchàngfùsuí","The husband sings and the wife follows.—(traditional concept of) domestic harmony；conjugal felicity","The husband sings and the wife follows.—(traditional concept of) domestic harmony；conjugal felicity","成语","","中性","","The husband sings and the wife follows.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","奄奄一息","yǎnyǎnyīxī","at one's last gasp；dying","at one's last gasp；dying","成语","他被打得奄奄一息","中性","他被打得奄奄一息。","Tā bèi dǎ de yǎnyǎnyīxī.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","好汉不提当年勇","hǎohàn bù tí dāngnián yǒng","well-known phrase A hero is silent about his past glories","well-known phrase A hero is silent about his past glories","成语","","中性","","A hero is silent about his past glories.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","如梦初醒","rúmèngchūxǐng","as if awakening from a dream—beginning to see the light","as if awakening from a dream—beginning to see the light","成语","说得他如梦初醒","中性","一席话, 说得他如梦初醒。","Yīxí huà, shuō de tā rúmèngchūxǐng.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","姗姗来迟","shānshānláichí","be slow in coming；be late；比喻be late；比喻arrive slowly","be slow in coming；be late；to be late；to arrive slowly；to be slow in the coming","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","安居乐业","ānjūlèyè","F.E. live and work in peace and contentment；be without fear","F.E. live and work in peace and contentment；be without fear","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","富丽堂皇","fùlìtánghuáng","F.E. sumptuous；gorgeous；灿烂；辉煌","F.E. sumptuous；gorgeous；splendid","成语","","褒义","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","尽人事听天命","jìn rénshì tīng tiānmìng","天堂","F.E. do one's best and leave the rest to Heaven","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","干净利落","gānjìnglìluo","neat and tidy；neat；squeaky clean；efficient","neat and tidy；neat；squeaky clean；efficient","成语","办事干净利落；仗打得干净利落","中性","办事干净利落 bànshì gānjìnglìluo be efficient 仗打得干净利落。","The battle was neatly won.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","形影相随","xíngyǐngxiāngsuí","be as close as body and shadow；be always together","be as close as body and shadow；be always together","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","待人接物","dàirénjiēwù","the way one gets along with people","the way one gets along with people","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","徒有其名","túyǒuqímíng","have a false (or unearned, undeserved) reputation；with an undeserved reputation (idiom)；unwarranted fame；nowhere near as good as he's made out to be","have a false (or unearned, undeserved) reputation；with an undeserved reputation；unwarranted fame；nowhere near as good as he's made out to be","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","心旷神怡","xīnkuàngshényí","字面指 heart untroubled, spirit pleased；carefree and relaxed","lit. heart untroubled, spirit pleased；carefree and relaxed","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","志同道合","zhìtóngdàohé","cherish the same ideals and follow the same path","cherish the same ideals and follow the same path","成语","两人志同道合","褒义","两人志同道合, 谈得投机, 只恨相见之晚。","Liǎng rén zhìtóngdàohé,  tán de tóujī, zhǐ hèn xiāngjiàn zhī wǎn.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语；October 2025/成语；November 2025/成语","怡情养性","yíqíngyǎngxìng","F.E. contribute to inner tranquility；F.E. contribute to inner tranquility；F.E. contribute to inner tranquility","F.E. contribute to inner tranquility；F.E. contribute to inner tranquility；F.E. contribute to inner tranquility","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","患得患失","huàndéhuànshī","比喻worry about personal gains and losses","to worry about personal gains and losses","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","慢慢悠悠","mànmanyōuyōu","unhurried；leisurely (opp. 急匆匆) 慢悠悠地走着 mànyōuyōu de zǒuzhe walk leisurely","unhurried；leisurely (opp. 急匆匆) 慢悠悠地走着 mànyōuyōu de zǒuzhe walk leisurely","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","所见所闻","suǒjiànsuǒwén","what one sees and hears","what one sees and hears","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","找台阶下","zhǎo táijiē xià","给自己或别人找台阶，化解尴尬。","find a way out of an awkward situation","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","抛砖引玉","pāozhuānyǐnyù","humb. offer banal/humble remarks to spark abler talk by others；sacrifice a little to gain much","humb. offer banal/humble remarks to spark abler talk by others；sacrifice a little to gain much","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","拳不离手，曲不离口","quán bù lí shǒu qǔ bù lí kǒu","well-known phrase The boxer's fist must stick to its task, and the singer's mouth no rest must ask.—Practice makes perfect","well-known phrase The boxer's fist must stick to its task, and the singer's mouth no rest must ask.—Practice makes perfect","成语","","中性","","The boxer's fist must stick to its task, and the singer's mouth no rest must ask.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","挺身而出","tǐngshēnchū","step forward bravely","step forward bravely","成语","他挺身而出","中性","他挺身而出, 对这种谬论加以反驳。","Tā tǐngshēn'érchū, duì zhèzhǒng miùlùn jiāyǐ fǎnbó.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","换汤不换药","huàn tāng bù huàn yào","well-known phrase the same medicine with a different name—old wine in new bottles；change in form but not in content (or essence)","well-known phrase the same medicine with a different name—old wine in new bottles；change in form but not in content (or essence)","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","掉以轻心","diàoyǐqīngxīn","F.E. lower one's guard","F.E. lower one's guard","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","文质彬彬","wénzhìbīnbīn","gentle；urbane","gentle；urbane","成语","文质彬彬","中性","他举止大方, 文质彬彬, 和霭可亲。","Tā jǔzhǐ dàfang,  wénzhìbīnbīn, hé ǎi kěqīn.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语；December 2025/成语","斤斤计较","jīnjīnjìjiào","比喻haggle over every ounce；(fig.) to fuss over minor matters；比喻split hairs；比喻haggle over every ounce；(fig.) to fuss over minor matters；比喻split hairs","to haggle over every ounce；(fig.) to fuss over minor matters；to split hairs；to haggle over every ounce；(fig.) to fuss over minor matters；to split hairs","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","无奇不有","wúqíbùyǒu","There is no lack of strange things；nothing is too bizarre；full of extraordinary things","There is no lack of strange things；nothing is too bizarre；full of extraordinary things","成语","","中性","","There is no lack of strange things.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","无所事事","wúsuǒshìshì","be occupied with nothing；have nothing to do；idle away one's time；fool around","be occupied with nothing；have nothing to do；idle away one's time；fool around","成语","","中性","一个人老是无所事事就会懒散成性。","Yī ge rén lǎoshi wúsuǒshìshì jiù huì lǎnsǎn chéng xìng.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","无论如何","wúlùnrúhé","in any case；at any rate；whatever happens","in any case；at any rate；whatever happens","成语","无论如何不能急躁","中性","无论如何不能急躁。","On no account must we be impatient.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","日复一日","rìfùyīrì","F.E. day after day；day in and day out","F.E. day after day；day in and day out","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","日新月异","rìxīnyuèyì","sth. new each day；daily renewal, monthly change (idiom)；every day sees new developments；rapid progress","sth. new each day；daily renewal, monthly change；every day sees new developments；rapid progress","成语","这个城市日新月异","中性","这个城市日新月异。","Zhèige chéngshì rìxīnyuèyì.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","早出晚归","zǎochūwǎnguī","比喻leave early and return late","to leave early and return late","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","早日康复","zǎorìkāngfù","比喻recover health quickly；Get well soon!","to recover health quickly；Get well soon!","成语","","中性","","Get well soon!","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","时序易迁","shíxùyìqiān","时光流逝，季节更替。","F.E. The seasons change","成语","","中性","","The seasons change.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","昏昏沉沉","hūnhūnchénchén","dizzy","dizzy","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","昙花一现","tánhuāyīxiàn","字面指 the night-blooming cactus shows once；flash in the pan；昙花一现","lit. the night-blooming cactus shows once；flash in the pan；short-lived","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","春秋笔法","chūnqiū bǐfǎ","指寓褒贬于叙述的笔法。","Spring and Autumn Annals style of subtle moral judgment in writing","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","有魔力的","yǒu mólì de","ATTR. magical；attractive","ATTR. magical；attractive","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","朝朝暮暮","zhāozhāomùmù","from dawn to dusk；all the time","from dawn to dusk；all the time","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","朝气蓬勃","zhāoqìpéngbó","full of youthful spirit；full of vigour and vitality；imbued with vitality 朝气蓬勃的青年 zhāoqìpéngbó de qīngnián spirited young people；energetic youth 朝气蓬勃的先锋队组织 zhāoqìpéngbó de xiānfēngduì zǔzhī a vigorous vanguard organization","full of youthful spirit；full of vigour and vitality；imbued with vitality 朝气蓬勃的青年 zhāoqìpéngbó de qīngnián spirited young people；energetic youth 朝气蓬勃的先锋队组织 zhāoqìpéngbó de xiānfēngduì zǔzhī a vigorous vanguard organization","成语","朝气蓬勃的青年","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","来日方长","láirìfāngcháng","the future is long；there will be ample time for that later；We'll cross that bridge when we get there","the future is long；there will be ample time for that later；We'll cross that bridge when we get there","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","杯弓蛇影","bēigōngshéyǐng","字面指 to see a bow reflected in a cup as a snake；fig. unnecessary suspicions；overly fearful","lit. to see a bow reflected in a cup as a snake；fig. unnecessary suspicions；overly fearful","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","柴米油盐","cháimǐyóuyán","字面指 firewood, rice, oil and salt；fig. life's daily necessities","lit. firewood, rice, oil and salt；fig. life's daily necessities","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","December 2025/成语","每况愈下","měikuàngyùxià","go from bad to worse","go from bad to worse","成语","他的健康每况愈下","中性","他的健康每况愈下。","Tā de jiànkāng měikuàngyùxià.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","水土流失","shuǐtǔ liúshī","水土被冲刷流失的现象。","soil erosion","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","添油加醋","tiānyóujiācù","add colour and emphasis to (a narration)；账户","add colour and emphasis to (a narration)；add vivid details to (an account)","成语","","中性","照我说的对他讲, 可别添枝加叶。","Zhào wǒ shuō de duì tā jiǎng, kě bié tiānzhījiāyè.","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","November 2025/成语","漠不相关","mòbùxiāngguān","P. entirely unrelated；of no consequence/concern","P. entirely unrelated；of no consequence/concern","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","September 2025/成语","熙熙攘攘","xīxīrǎngrǎng","bustling with activity","bustling with activity","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
"chengyu","October 2025/成语","牵线搭桥","qiānxiàndāqiáo","从中撮合、建立联系。","to act as a go-between；make connections","成语","","中性","","","固定搭配，整体理解，不宜逐字直译。","",""
