"Chapter","hanzi","pinyin","mandarin_意义","英文意义","词性","搭配","色彩","example_sentence","example_sentence_en","usage_note","common_errors","related_words"
"November 2025/生词；PKU Sem1 文学课/生词","晾","liàng","dry in the air；(fig.) to cold-shoulder；dry in the air；(fig.) to cold-shoulder","to dry in the air；(fig.) to cold-shoulder；to dry in the air；(fig.) to cold-shoulder","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"November 2025/生词；PKU Sem1 文学课/生词","洗尘","xǐchén","give a dinner to welcome a distant visitor；give a dinner to welcome a distant visitor","give a dinner to welcome a distant visitor；give a dinner to welcome a distant visitor","名","","中性","今晚我们给你接风洗尘。","Jīnwạ̌n wǒmen gẹ̌i nǐ jiēfēng xǐchén.","","",""
"November 2025/生词；PKU Sem1 文学课/生词","犹豫","yóuyù","hesitate；be irresolute 犹豫不定 yóuyùbùdìng hesitate；hesitate；be irresolute 犹豫不定 yóuyùbùdìng hesitate","hesitate；be irresolute 犹豫不定 yóuyùbùdìng hesitate；hesitate；be irresolute 犹豫不定 yóuyùbùdìng hesitate","名","犹豫不定；毫不犹豫；犹犹豫豫；犹豫不定；毫不犹豫；犹犹豫豫","中性","犹豫不定 yóuyùbùdìng hesitate; remain undecided 毫不犹豫 háobù yóuyù without the least hesitation 犹犹豫豫 yóuyóuyùyù shilly-shally 他犹豫了一下才回答。","Tā yóuyù le yī xià cái huídá.","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","略","è","brief；sketchy；outline；summary；brief；sketchy；outline；summary","brief；sketchy；outline；summary；to omit；(bound form before a single-character ) a bit；somewhat；slightly；plan；strategy；to capture (territory)；brief；sketchy；outline；summary；to omit；(bound form before a single-character ) a bit；somewhat；slightly；plan；strategy；to capture (territory)","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","盏","zhǎn","small cup 酒盏 jiǔzhǎn a small wine cup measure word 一盏电灯 yī zhǎn diàndēng an electric lamp；a small cup；classifier for lamps；small cup 酒盏 jiǔzhǎn a small wine cup measure word 一盏电灯 yī zhǎn diàndēng an electric lamp；a small cup；classifier for lamps","small cup 酒盏 jiǔzhǎn a small wine cup measure word 一盏电灯 yī zhǎn diàndēng an electric lamp；a small cup；classifier for lamps；small cup 酒盏 jiǔzhǎn a small wine cup measure word 一盏电灯 yī zhǎn diàndēng an electric lamp；a small cup；classifier for lamps","名","酒盏；一盏电灯；酒盏；一盏电灯","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","瞬","shùn","B.F. blink；a moment/instant in shùnjiān , ¹yīshùn；B.F. blink；a moment/instant in shùnjiān , ¹yīshùn","B.F. blink；a moment/instant in shùnjiān , ¹yīshùn；B.F. blink；a moment/instant in shùnjiān , ¹yīshùn","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","罢了","bàle","auxiliary that's all；I’ve only done what I should；auxiliary that's all；I’ve only done what I should","auxiliary that's all；I’ve only done what I should；auxiliary that's all；I’ve only done what I should","名","你就是不想去罢了；你就是不想去罢了","中性","你就是不想去罢了。","Nǐ jiù shì bù xiǎng qù bàle.","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","肺腑","fèifǔ","the bottom of one's heart 出自肺腑 chūzìfèifǔ straight from the heart；from the depths of one’s heart；the bottom of one's heart 出自肺腑 chūzìfèifǔ straight from the heart；from the depths of one’s heart","the bottom of one's heart 出自肺腑 chūzìfèifǔ straight from the heart；from the depths of one’s heart；the bottom of one's heart 出自肺腑 chūzìfèifǔ straight from the heart；from the depths of one’s heart","名","出自肺腑；出自肺腑","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","腼腆","miǎntian","shy；shy","shy；shy","名","腼腆温柔的少女；腼腆温柔的少女","中性","腼腆温柔的少女 miǎntian wēnróu de shàonǚ sweet shy girl 这孩子见了生人有点儿腼腆。","The child is shy with strangers.","","",""
"November 2025/生词；PKU Sem1 文学课/生词","舒展","shūzhan","S.V. , coll. in good spirits；cheerful；to roll out；to extend；S.V. , coll. in good spirits；cheerful；to roll out；to extend","S.V. , coll. in good spirits；cheerful；to roll out；to extend；to smooth out；to unfold；S.V. , coll. in good spirits；cheerful；to roll out；to extend；to smooth out；to unfold","名","","口语","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","裱","biǎo","mount (a picture, etc.)；paper (a wall, ceiling, etc.)；mount (a picture, etc.)；paper (a wall, ceiling, etc.)","mount (a picture, etc.)；paper (a wall, ceiling, etc.)；mount (a picture, etc.)；paper (a wall, ceiling, etc.)","名","把画拿去裱一下；把画拿去裱一下","中性","把画拿去裱一下。","Bǎ huà ná qù biǎo yīxià.","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词","鸡头","jītóu","chicken head；common name for；chicken head；common name for","chicken head；common name for；chicken head；common name for","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词；December 2025/生词","亏待","kuīdài","treat unfairly；treat unfairly；treat unfairly","treat unfairly；treat unfairly；treat unfairly","名","","中性","我可从来没亏待过你。","Wǒ kě cónglái méi kuīdài guò nǐ.","","",""
"November 2025/生词；PKU Sem1 文学课/生词；December 2025/生词","孤独","gūdú","lonely；solitary 过着孤独的生活 guòzhe gūdú de shēnghuó live in solitude；lonely；solitary 过着孤独的生活 guòzhe gūdú de shēnghuó live in solitude；lonely；solitary 过着孤独的生活 guòzhe gūdú de shēnghuó live in solitude","lonely；solitary 过着孤独的生活 guòzhe gūdú de shēnghuó live in solitude；lonely；solitary 过着孤独的生活 guòzhe gūdú de shēnghuó live in solitude；lonely；solitary 过着孤独的生活 guòzhe gūdú de shēnghuó live in solitude","名","过着孤独的生活；过着孤独的生活；过着孤独的生活","中性","","","一词多义，结合上下文判断具体义项。","",""
"November 2025/生词；PKU Sem1 文学课/生词；December 2025/生词；January 2026","接纳","jiēnà","V. admit (into an organization)；accept (advice/etc.)；V. admit (into an organization)；accept (advice/etc.)；V. admit (into an organization)；accept (advice/etc.)；V. admit (into an organization)；accept (advice/etc.)","V. admit (into an organization)；accept (advice/etc.)；V. admit (into an organization)；accept (advice/etc.)；V. admit (into an organization)；accept (advice/etc.)；V. admit (into an organization)；accept (advice/etc.)","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；November 2025/生词；PKU Sem1 文学课/生词","书斋","shūzhāi","study；study；study","study；study；study","名","","中性","","","","",""
"October 2025/生词；November 2025/生词；PKU Sem1 文学课/生词","勉强","miǎnqiǎng","manage with an effort；do with difficulty bìngrén miǎnqiǎng hē le diǎnr zhōu. or —— ——miǎnmiǎnqiǎngqiǎng. —；force sb. to do sth；reluctant；grudging 勉强协助 miǎnqiǎng xiézhù give reluctant assistance 勉强许诺 miǎnqiǎng xǔnuò give a reluctant promise；inadequate；unconvincing；strained；far-fetched；manage with an effort；do with difficulty bìngrén miǎnqiǎng hē le diǎnr zhōu. or —— ——miǎnmiǎnqiǎngqiǎng. —；force sb. to do sth；reluctant；grudging 勉强协助 miǎnqiǎng xiézhù give reluctant assistance 勉强许诺 miǎnqiǎng xǔnuò give a reluctant promise；inadequate；unconvincing；strained；far-fetched；manage with an effort；do with difficulty bìngrén miǎnqiǎng hē le diǎnr zhōu. or —— ——miǎnmiǎnqiǎngqiǎng. —；force sb. to do sth；reluctant；grudging 勉强协助 miǎnqiǎng xiézhù give reluctant assistance 勉强许诺 miǎnqiǎng xǔnuò give a reluctant promise；inadequate；unconvincing；strained；far-fetched","manage with an effort；do with difficulty bìngrén miǎnqiǎng hē le diǎnr zhōu. or —— ——miǎnmiǎnqiǎngqiǎng. —；force sb. to do sth；reluctant；grudging 勉强协助 miǎnqiǎng xiézhù give reluctant assistance 勉强许诺 miǎnqiǎng xǔnuò give a reluctant promise；inadequate；unconvincing；strained；far-fetched；reluctantly；grudgingly；unwillingly；barely 勉强及格 miǎnqiǎng jígé barely pass the examination；only just make the grade；manage with an effort；do with difficulty bìngrén miǎnqiǎng hē le diǎnr zhōu. or —— ——miǎnmiǎnqiǎngqiǎng. —；force sb. to do sth；reluctant；grudging 勉强协助 miǎnqiǎng xiézhù give reluctant assistance 勉强许诺 miǎnqiǎng xǔnuò give a reluctant promise；inadequate；unconvincing；strained；far-fetched；reluctantly；grudgingly；unwillingly；barely 勉强及格 miǎnqiǎng jígé barely pass the examination；only just make the grade；manage with an effort；do with difficulty bìngrén miǎnqiǎng hē le diǎnr zhōu. or —— ——miǎnmiǎnqiǎngqiǎng. —；force sb. to do sth；reluctant；grudging 勉强协助 miǎnqiǎng xiézhù give reluctant assistance 勉强许诺 miǎnqiǎng xǔnuò give a reluctant promise；inadequate；unconvincing；strained；far-fetched；reluctantly；grudgingly；unwillingly；barely 勉强及格 miǎnqiǎng jígé barely pass the examination；only just make the grade","名","勉勉强强；就不要勉强他；勉强协助；勉强许诺；勉勉强强；就不要勉强他；勉强协助；勉强许诺；勉勉强强；就不要勉强他；勉强协助；勉强许诺","中性","病人勉强喝了点儿粥。","With an effort the patient ate some gruel.","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；November 2025/生词；PKU Sem1 文学课/生词","恍惚","huǎnghu","心不在焉；dim；faint；seeming；vague；distracted；心不在焉；dim；faint；seeming；vague；distracted；心不在焉；dim；faint；seeming；vague；distracted","in a trance；absent-minded 精神恍惚 jīngshénhuǎnghu be in a trance；confused；dazed；dim；faint；seeming；vague；absent-minded；distracted；dazzled；vaguely；dimly；in a trance；absent-minded 精神恍惚 jīngshénhuǎnghu be in a trance；confused；dazed；dim；faint；seeming；vague；absent-minded；distracted；dazzled；vaguely；dimly；in a trance；absent-minded 精神恍惚 jīngshénhuǎnghu be in a trance；confused；dazed；dim；faint；seeming；vague；absent-minded；distracted；dazzled；vaguely；dimly","名","精神恍惚；精神恍惚；精神恍惚","中性","精神恍惚 jīngshénhuǎnghu be in a trance; confused; dazed 2 dim; faint; seeming; vague 我恍惚听见他进屋去了。","Wǒ huǎnghu tīngjiàn tā jìn wū qù le.","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；November 2025/生词；PKU Sem1 文学课/生词","折腾","zhēteng","toss from side to side (e.g. sleeplessly)；repeat sth over and over again；torment sb；play crazy；toss from side to side (e.g. sleeplessly)；repeat sth over and over again；torment sb；play crazy；toss from side to side (e.g. sleeplessly)；repeat sth over and over again；torment sb；play crazy","to toss from side to side (e.g. sleeplessly)；to repeat sth over and over again；to torment sb；to play crazy；to squander (time, money)；to toss from side to side (e.g. sleeplessly)；to repeat sth over and over again；to torment sb；to play crazy；to squander (time, money)；to toss from side to side (e.g. sleeplessly)；to repeat sth over and over again；to torment sb；to play crazy；to squander (time, money)","动","","贬义","","","动词用法，注意宾语和常见搭配。","",""
"October 2025/生词；November 2025/生词；PKU Sem1 文学课/生词","清供","qīnggòng","simple and elegant (or delicate) offerings (such as fresh flowers or vegetarian food, and plus joss sticks and candles)；elegant ornaments (curios, potted landscapes, etc.) 案头清供 àntóu qīnggòng desk ornaments；simple and elegant (or delicate) offerings (such as fresh flowers or vegetarian food, and plus joss sticks and candles)；elegant ornaments (curios, potted landscapes, etc.) 案头清供 àntóu qīnggòng desk ornaments；simple and elegant (or delicate) offerings (such as fresh flowers or vegetarian food, and plus joss sticks and candles)；elegant ornaments (curios, potted landscapes, etc.) 案头清供 àntóu qīnggòng desk ornaments","simple and elegant (or delicate) offerings (such as fresh flowers or vegetarian food, and plus joss sticks and candles)；elegant ornaments (curios, potted landscapes, etc.) 案头清供 àntóu qīnggòng desk ornaments；simple and elegant (or delicate) offerings (such as fresh flowers or vegetarian food, and plus joss sticks and candles)；elegant ornaments (curios, potted landscapes, etc.) 案头清供 àntóu qīnggòng desk ornaments；simple and elegant (or delicate) offerings (such as fresh flowers or vegetarian food, and plus joss sticks and candles)；elegant ornaments (curios, potted landscapes, etc.) 案头清供 àntóu qīnggòng desk ornaments","名","案头清供；案头清供；案头清供","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","仓皇","cānghuáng","in a panic；flurried；in a panic；flurried","in a panic；flurried；in a panic；flurried","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","伴侣","bàn","companion；mate；partner 五十年的忠实伴侣 Wǔshí nián de zhōngshí bànlǚ faithful companion of；years 寻找终身伴侣 xúnzhǎo zhōngshēn bànlǚ seek a life partner (or life-long companion)；coffee mate 给咖啡加点儿伴侣 gěi kāfēi jiā diǎnrbànlǚ add some coffee mate to the coffee；companion；mate；partner 五十年的忠实伴侣 Wǔshí nián de zhōngshí bànlǚ faithful companion of；years 寻找终身伴侣 xúnzhǎo zhōngshēn bànlǚ seek a life partner (or life-long companion)；coffee mate 给咖啡加点儿伴侣 gěi kāfēi jiā diǎnrbànlǚ add some coffee mate to the coffee","companion；mate；partner 五十年的忠实伴侣 Wǔshí nián de zhōngshí bànlǚ faithful companion of；years 寻找终身伴侣 xúnzhǎo zhōngshēn bànlǚ seek a life partner (or life-long companion)；coffee mate 给咖啡加点儿伴侣 gěi kāfēi jiā diǎnrbànlǚ add some coffee mate to the coffee；companion；mate；partner 五十年的忠实伴侣 Wǔshí nián de zhōngshí bànlǚ faithful companion of；years 寻找终身伴侣 xúnzhǎo zhōngshēn bànlǚ seek a life partner (or life-long companion)；coffee mate 给咖啡加点儿伴侣 gěi kāfēi jiā diǎnrbànlǚ add some coffee mate to the coffee","名","五十年的忠实伴侣；寻找终身伴侣；给咖啡加点儿伴侣；五十年的忠实伴侣；寻找终身伴侣；给咖啡加点儿伴侣","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","依旧","yījiù","as before；still；to remain the same；as before；still；to remain the same","as before；still；to remain the same；as before；still；to remain the same","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","倾","qīng","overturn；collapse；lean；tend；overturn；collapse；lean；tend","to overturn；to collapse；to lean；to tend；to incline；to pour out；to overturn；to collapse；to lean；to tend；to incline；to pour out","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"October 2025/生词；PKU Sem1 文学课/生词","出师","chū shī","literary dispatch troops to fight；send an army into battle 出师不利 chūshībùlì lose the first battle (or game)；to finish apprenticeship；to graduate；literary dispatch troops to fight；send an army into battle 出师不利 chūshībùlì lose the first battle (or game)；to finish apprenticeship；to graduate","literary dispatch troops to fight；send an army into battle 出师不利 chūshībùlì lose the first battle (or game)；to finish apprenticeship；to graduate；to send out troops (under a commander)；literary dispatch troops to fight；send an army into battle 出师不利 chūshībùlì lose the first battle (or game)；to finish apprenticeship；to graduate；to send out troops (under a commander)","名","出师不利；出师未捷身先死；出师不利；出师未捷身先死","中性","出师不利 chūshībùlì lose the first battle (or game); meet with initial setbacks 出师未捷身先死, 长使英雄泪满襟。","How sad that he had to die before he gained victory, | Leaving great men of succeeding generations to grieve for him.","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","利润","lìrùn","economics profit 利润挂帅 lìrùnguàshuài take profit as the primary motivation；put profit in command 利润驱动 lìrùn qūdòng profit-motivated 利润–成本分析 lìrùn–chéngběn fēnxi cost-benefit analysis 总利润 zǒnglìrùn gross profit；price margins；economics profit 利润挂帅 lìrùnguàshuài take profit as the primary motivation；put profit in command 利润驱动 lìrùn qūdòng profit-motivated 利润–成本分析 lìrùn–chéngběn fēnxi cost-benefit analysis 总利润 zǒnglìrùn gross profit；price margins","economics profit 利润挂帅 lìrùnguàshuài take profit as the primary motivation；put profit in command 利润驱动 lìrùn qūdòng profit-motivated 利润–成本分析 lìrùn–chéngběn fēnxi cost-benefit analysis 总利润 zǒnglìrùn gross profit；price margins；economics profit 利润挂帅 lìrùnguàshuài take profit as the primary motivation；put profit in command 利润驱动 lìrùn qūdòng profit-motivated 利润–成本分析 lìrùn–chéngběn fēnxi cost-benefit analysis 总利润 zǒnglìrùn gross profit；price margins","名","利润挂帅；利润驱动；利润；总利润；利润挂帅；利润驱动；利润；总利润","褒义","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","吉利","jílì","形容auspicious；形容lucky；形容propitious；形容auspicious；形容lucky；形容propitious","auspicious；lucky；propitious；auspicious；lucky；propitious","形","","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","呆滞","dāizhì","dull 两眼呆滞无神 Liǎng yǎn dāizhì wú shén with a dull look in one’s eyes；idle 避免资金呆滞 Bìmiǎn zījīn dāizhì prevent capital from lying idle；dull；lifeless；dull 两眼呆滞无神 Liǎng yǎn dāizhì wú shén with a dull look in one’s eyes；idle 避免资金呆滞 Bìmiǎn zījīn dāizhì prevent capital from lying idle；dull；lifeless","dull 两眼呆滞无神 Liǎng yǎn dāizhì wú shén with a dull look in one’s eyes；idle 避免资金呆滞 Bìmiǎn zījīn dāizhì prevent capital from lying idle；dull；lifeless；sluggish；dull 两眼呆滞无神 Liǎng yǎn dāizhì wú shén with a dull look in one’s eyes；idle 避免资金呆滞 Bìmiǎn zījīn dāizhì prevent capital from lying idle；dull；lifeless；sluggish","名","两眼呆滞无神；避免资金呆滞；两眼呆滞无神；避免资金呆滞","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","啄","zhuó","peck；peck","to peck；to peck","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"October 2025/生词；PKU Sem1 文学课/生词","垛","duò","pile；battlement；target；battlement；target","pile；battlement；target；battlement；target","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","安详","ānxiáng","serene；serene","serene；serene","名","","中性","","","","",""
"October 2025/生词；PKU Sem1 文学课/生词","寒暄","hánxuān","exchange conventional greetings；exchange pleasantries；exchange conventional greetings；exchange pleasantries","to exchange conventional greetings；to exchange pleasantries；to exchange conventional greetings；to exchange pleasantries","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"October 2025/生词；PKU Sem1 文学课/生词","尴尬","gāngà","awkward；embarrassed；awkward；embarrassed","awkward；embarrassed；awkward；embarrassed","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","忌讳","jìhui","忌讳；to abstain from；忌讳；to abstain from","taboo；to avoid as taboo；to abstain from；taboo；to avoid as taboo；to abstain from","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","念头","niàntou","thought；idea；intention；thought；idea；intention","thought；idea；intention；thought；idea；intention","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","恐惧","kǒngjù","be frightened；fear；dread；be frightened；fear；dread","to be frightened；fear；dread；to be frightened；fear；dread","动","","中性","","","动词用法，注意宾语和常见搭配。","",""
"October 2025/生词；PKU Sem1 文学课/生词","惋惜","wǎnxī","feel sorry for sb. (or about sth.)；regret；to regret；to feel that it is a great pity；feel sorry for sb. (or about sth.)；regret；to regret；to feel that it is a great pity","feel sorry for sb. (or about sth.)；regret；to regret；to feel that it is a great pity；to feel sorry for sb；feel sorry for sb. (or about sth.)；regret；to regret；to feel that it is a great pity；to feel sorry for sb","名","十分令人惋惜；十分令人惋惜","中性","他才华未展, 英年早逝, 十分令人惋惜。","Tā cáihuá wèi zhǎn,  yīngnián zǎoshì, shífēn lìng rén wǎnxī.","一词多义，结合上下文判断具体义项。","",""
"October 2025/生词；PKU Sem1 文学课/生词","捉弄","zhuōnòng","tease；make fun of；play tricks on；tease；make fun of；play tricks on","tease；make fun of；play tricks on；tease；make fun of；play tricks on","名","","中性","","","一词多义，结合上下文判断具体义项。","",""
