"Chapter","Word Pair","Word","Nuance & Use Cases","Grammar Considerations","Example 1","Example 1 English","Example 2","Example 2 English"
"Chapter 3","风行 - 流行","流行 (liúxíng)","Standard, broad term for anything widely accepted, used, or liked by the public at a certain time. Does not imply fierce momentum.","Can be modified by degree adverbs (e.g., 很流行, 非常流行). Can also describe diseases spreading (e.g., 流行性感冒).","现在的年轻人之间很流行穿复古风格的衣服。","Wearing vintage-style clothing is very popular among young people nowadays.","这首流行歌曲的旋律很简单，听一遍就能记住。","The melody of this popular song is very simple; you can remember it after hearing it just once."
"Chapter 3","夸张 - 夸大","夸张 (kuāzhāng)","Can be a neutral artistic device (hyperbole) or describe daily speech/behavior done to a theatrical, dramatic, or flamboyant degree.","Can be an adjective (e.g., 表情太夸张了) or a noun/verb in rhetorical contexts.","漫画家常常用夸张的手法来突出人物的面部特征。","Cartoonists often use exaggerated techniques to highlight a character's facial features.","她只是受了一点轻伤，哭得那么厉害未免太夸张了吧。","She only sustained a minor injury; crying that hard is a bit too dramatic/theatrical."
"Chapter 3","夸张 - 夸大","夸大 (kuādà)","A negative verb meaning to distort the truth by intentionally overstating facts, numbers, or situations. Implies dishonesty.","Strictly a transitive verb that requires an explicit object (e.g., 夸大事实, 夸大病情).","这家公司的广告显然夸大了产品的实际功效，涉嫌欺骗消费者。","This company's advertisement clearly overstated/exaggerated the product's actual efficacy, suspected of deceiving consumers.","面对困难，我们应该实事求是，既不能隐瞒，也不能夸大事实。","When facing difficulties, we should seek truth from facts; we must neither conceal nor exaggerate the facts."
"Chapter 4","赞许 - 赞同","赞许 (zànxǔ)","Focuses on admiration, praise, and approval. Usually flows from a higher status to a lower status (boss to employee, elder to youth).","Often used as a noun (e.g., 投去赞许的目光) or an abstract object.","看到小明主动给老人让座，老师向他投去了赞许的目光。","Seeing Xiao Ming take the initiative to give up his seat to the elderly, the teacher cast a look of approval/praise at him.","他的创新想法得到了公司高层的一致赞许。","His innovative idea received unanimous praise and approval from the company's senior management."
"Chapter 4","赞许 - 赞同","赞同 (zàntóng)","Focuses on intellectual alignment or agreement with a view, proposal, or standpoint. Peer-to-peer, does not imply praise.","Purely a verb. Often takes opinions or people as its direct object (e.g., 我赞同你的看法 / 赞同这个方案).","听完他的市场分析后，绝大多数经理都表示赞同他的意见。","After listening to his market analysis, the vast majority of managers expressed agreement with his opinion.","我不赞同为了追求速度而牺牲产品质量的做法。","I do not agree with the practice of sacrificing product quality for the sake of speed."
"Chapter 4","快捷 - 敏捷","快捷 (kuàijié)","Describes services, systems, transportation, tools, or methods that save time and are highly efficient. Focuses on system/process speed.","Usually modifies abstract services or operations (e.g., 快捷的支付方式).","现在的网络让信息传递变得非常快捷，几秒钟就能发到世界各地。","The internet nowadays makes information transmission extremely fast and convenient; it takes just a few seconds to send it worldwide.","地铁是城市里最快捷的交通工具之一，完全不用担心堵车。","The subway is one of the fastest and most efficient means of transportation in the city, with no need to worry about traffic jams."
"Chapter 4","快捷 - 敏捷","敏捷 (mǐnjié)","Describes physical movements or mental faculties (thinking, responses) that are sharp, quick, nimble, and coordinated.","Modifies human actions, thoughts, or physical traits (e.g., 思维敏捷 = quick-witted; 身手敏捷 = agile movements).","别看那位老人年纪大了，他的动作依然十分敏捷。","Don't judge by his old age; that elderly man's movements are still incredibly agile.","程序员需要具备敏捷的思维，才能在短时间内找出代码的错误。","Programmers need to possess quick/agile thinking to find bugs in code within a short period."
"Chapter 4","预测 - 推测","预测 (yùcè)","To forecast or predict future outcomes based on scientific data, professional calculations, statistics, or models.","Can be a verb or noun. Usually pairs with future outcomes (e.g., 预测天气, 预测经济走向).","气象局预测明天下午会有特大暴雨，提醒市民减少出行。","The Meteorological Bureau forecasts torrential rain tomorrow afternoon and advises citizens to reduce travel.","专家们正在预测未来五年内人工智能对就业市场的影响。","Experts are currently predicting the impact of artificial intelligence on the job market over the next five years."
"Chapter 4","预测 - 推测","推测 (tuīcè)","To speculate, infer, or deduce unknown facts, past events, motives, or reasons based on existing clues, evidence, or logic.","Can be a verb or noun. Usually pairs with logic, intentions, or past/present causes (e.g., 根据线索推测).","警察根据现场留下的脚印，推测嫌疑人的身高在一米八左右。","Based on the footprints left at the scene, the police inferred that the suspect's height is around 1.8 meters.","从她红肿的眼睛可以推测，她刚刚一定大哭了一场。","From her swollen eyes, one can deduce that she must have had a big crying session just now."
"Chapter 4","过于 - 过分","过于 (guòyú)","A formal adverb meaning 'excessively / to an excessive degree'. Modifies states or psychological feelings objectively.","Purely an adverb; MUST be followed by an adjective or verb (e.g., 过于谦虚, 过于担心). Cannot stand alone.","他在工作中过于追求完美，反而导致项目的进度被耽误了。","He is excessively pursuing perfection in his work, which conversely caused the project's progress to be delayed.","父母没必要过于担心孩子的未来，应该给他们独立面对世界的机会。","Parents don't need to be overly anxious about their children's future; they should give them the opportunity to face the world independently."
"Chapter 4","过于 - 过分","过分 (guòfèn)","An adjective meaning behavior, speech, or actions have crossed moral/acceptable boundaries. Carries strong emotional reproof/dissatisfaction.","Can be an adjective and stand alone as a predicate (e.g., 你太过分了！ = You've gone too far!). Can also act as an adverb.","你在公共场合大声指责服务员，这种行为实在是太过分了。","You loudly blamed the waiter in public; this kind of behavior is truly going too far / out of line.","虽然他犯了错，但你让他当众下跪的惩罚也未免太过分了吧。","Even though he made a mistake, your punishment of making him kneel in public is surely a bit too extreme/excessive."
"Chapter 4","快速 - 迅速","快速 (kuàisù)","Emphasizes a constant high rate of speed over a continuous period. Matter-of-fact descriptor of high-velocity operations.","Heavily used as an attributive modifier before nouns (e.g., 快速通道 = fast lane; 快速消费品 = FMCG).","随着城市快速发展，原先的郊区现在已经变成了繁华的商业区。","With the rapid/fast-paced development of the city, the original suburbs have now turned into bustling commercial areas.","这是一个快速获取信息的时代，但碎片化的阅读会让人失去深度思考的能力。","This is an era of fast information retrieval, but fragmented reading can cause people to lose the ability to think deeply."
"Chapter 4","快速 - 迅速","迅速 (xùnsù)","Emphasizes promptness, short reaction time, or immediate changes. Used when an event or action occurs immediately after a trigger.","Frequently used as an adverb to describe immediate, non-delayed action execution (e.g., 迅速撤离, 迅速作出反应).","火灾发生后，消防员迅速赶到现场并控制住了火势。","After the fire broke out, firefighters swiftly arrived at the scene and brought the blaze under control.","听到敲门声，小狗迅速从沙发上跳下来，跑到门口摇尾巴。","Hearing the knock on the door, the puppy promptly jumped off the sofa and ran to the door, wagging its tail."
"Chapter 5","依赖 - 依靠","依赖 (yīlài)","Carries a negative/restrictive tone implying an inability to be independent, a lack of self-reliance, or an unhealthy crutch/addiction.","Takes abstract objects (e.g., 依赖技术). Often used in the structure '对……产生依赖'.","现在的很多孩子过度依赖父母的督促，完全没有自主学习的能力。","Many children nowadays overly depend on their parents' supervision, completely lacking the ability to study independently.","长期依赖药物来缓解考试焦虑，并不是一个长久的解决办法。","Relying on medication long-term to relieve exam anxiety is not a permanent solution."
"Chapter 5","依赖 - 依靠","依靠 (yīkào)","A neutral or positive word emphasizing finding a solid foundation, protector, or source of necessary strength, help, or income.","Functions as both a verb and a noun meaning 'someone/something to lean on' (e.g., 失去了依靠 = lost their support system).","在外打拼多年，家人的支持始终是他坚持下去的坚实依靠。","Having struggled away from home for years, his family's support has always been his solid backing to keep going.","想要顺利通过钢琴考级，不能只靠运气，必须依靠长期的刻苦练习。","If you want to pass the piano grade exam smoothly, you cannot rely solely on luck; you must rely on long-term, painstaking practice."
"Chapter 5","营造 - 营建","营造 (yíngzào)","Used to describe creating or constructing abstract, intangible environments, feelings, cultural climates, or atmospheres.","Almost always pairs with atmosphere-related abstract nouns (e.g., 营造氛围, 营造环境).","父母应该在家庭中营造良好的高雅艺术氛围，让孩子从小受到熏陶。","Parents should create a good, elegant artistic atmosphere in the family so that children are nurtured from a young age.","为了迎接校庆，全校师生共同营造出了一种欢快、热烈的节日气象。","To welcome the school anniversary, teachers and students together created a cheerful and warm festive atmosphere."
"Chapter 5","营造 - 营建","营建 (yíngjiàn)","Strictly used for the physical construction of large-scale concrete structures, facilities, geographic bases, or buildings.","Pairs with architectural or geographic concrete nouns (e.g., 营建住宅区, 营建防护林).","政府计划在城市北部营建一片大规模的生态防护林。","The government plans to construct a large-scale ecological shelterbelt forest in the northern part of the city.","这座古老的寺庙在几百年前营建时，耗费了大量的人力和物力。","When this ancient temple was constructed hundreds of years ago, it consumed a massive amount of manpower and physical resources."
"Chapter 5","指点 - 指示","指点 (zhǐdiǎn)","Pointers, constructive tips, hints, or advice given casually or expert-to-peer to help someone solve a specific problem or improve a skill.","Can take a person directly as a grammatical object (e.g., 谢谢您的指点 / 请指点我一下).","幸亏有这位专业教授的指点，我才终于弄懂了这首交响乐背后的深意。","Fortunately, with this professional professor's pointers, I finally understood the deep meaning behind this symphony.","如果没有学长在论文选题上的指点，我的毕业设计可能还要多花两周时间。","Without my senior's pointers on the thesis topic selection, my graduation project might have taken another two weeks."
"Chapter 5","指点 - 指示","指示 (zhǐshì)","Formal, authoritative commands, official guidelines, or directives handed down from a top authority or organization to subordinates.","Used as a noun (e.g., 听从领导的指示) or as a transitive verb taking an official administrative action clause.","我们必须严格按照上级部门的指示，全面排查考级过程中的作弊行为。","We must strictly follow the directives of the higher authorities to thoroughly investigate cheating during the grade exams.","经理刚才发来指示，要求全体员工在今天下班前提交本月的总结报告。","The manager just sent out instructions requiring all employees to submit this month's summary report before leaving work today."
"Chapter 5","敏捷 - 灵敏","敏捷 (mǐnjié)","Focuses on speed, quickness, and physical/mental coordination of human thoughts or actions.","Modifies human actions or thinking capacity (e.g., 思维敏捷, 身手敏捷).","他的思维非常敏捷，在辩论赛中总是能瞬间找出对方逻辑的漏洞。","His thinking is highly agile; he can always instantly spot the loopholes in the opponent's logic during debate competitions.","那位杂技演员动作敏捷，在半空中轻松地完成了高难度动作。","That acrobat moved nimbly, effortlessly completing highly difficult movements in mid-air."
"Chapter 5","敏捷 - 灵敏","灵敏 (língmǐn)","Focuses on detection capability, acute accuracy of physical senses, or precise reactivity of advanced sensors/instruments to stimuli.","Modifies body senses (e.g., 听觉灵敏) or technological precision tools (e.g., 仪器灵敏, 传感器灵敏).","经常在自然环境中受到熏陶的人，往往对生活中的美有着更灵敏的感知力。","People who are frequently nurtured by natural environments often have a more acute perception of beauty in life.","这种新型的电子调音器非常灵敏，哪怕吉他弦只有一丝走音也能测出来。","This new electronic tuner is highly sensitive; it can detect even if a guitar string is just slightly out of tune."
"Chapter 5","延伸 - 延长","延伸 (yánshēn)","Refers to spatial direction or geographical length. A line, road, boundary, or object stretching further outward in space.","Objects are strictly space/geography-bound (e.g., 公路向远方延伸, 视线延伸).","这条新修的高铁线路将向西延伸五百公里，大大方便了沿线居民。","This newly built high-speed railway line will extend 500 kilometers to the west, greatly facilitating the residents along the route.","他的视线穿过窗户，一直延伸到街道尽头的那座标志性建筑上。","His line of sight passed through the window and stretched all the way to the landmark building at the end of the street."
"Chapter 5","延伸 - 延长","延长 (yáncháng)","Refers to temporal length, time duration, or deadlines. Making a specific timeframe or period longer than initially scheduled.","Objects are strictly time/duration-bound (e.g., 延长寿命, 延长开放时间, 延长截止日期).","为了给考生提供更多复习时间，图书馆决定将开放时间延长至深夜。","In order to provide candidates with more review time, the library decided to prolong its opening hours until late at night.","保持健康的作息规律、多吃蔬菜水果，不失为一种延长寿命的好方法。","Maintaining a regular daily routine and eating more vegetables and fruits is not a bad way to prolong one's lifespan."
