Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,谈吐,cách nói chuyện; phong thái lời nói,"Cô nói chuyện điềm đạm, thể hiện giáo dục tốt.",Chỉ phong cách lời nói.
Chapter 3,得体,phù hợp; đúng mực,Ăn mặc đúng mực rất quan trọng khi phỏng vấn.,"Khen sự phù hợp, đúng đắn."
Chapter 3,就算,dù cho; cho dù,"Dù kiểu đã lỗi thời, mẹ vẫn không nỡ vứt bộ quần áo đó.",Liên từ nhượng bộ.
Chapter 3,推敲,cân nhắc từ ngữ; chỉnh sửa câu chữ,Anh cân nhắc tiêu đề bài văn rất lâu mới chốt.,Từ truyện Jia Dao.
Chapter 3,眼影,phấn mắt,"Cô chỉ phủ nhẹ phấn mắt, trông rất tươi tắn.",Từ vựng trang điểm.
Chapter 3,灰晶,sắc xám trong như pha lê,Phấn mắt tông xám pha lê này hợp trang điểm hằng ngày.,Tên màu đặc thù trong bài.
Chapter 3,唇膏,son môi,Cô chọn son màu nhạt để phối bộ đồ xuân giản dị.,Đồ trang điểm.
Chapter 3,面容,khuôn mặt; dung mạo,"Trong ảnh cũ, khuôn mặt mẹ dịu dàng mà kiên định.","Cách nói trang trọng, văn học về mặt."
Chapter 3,别扭,khó chịu; gượng ép,"Size không vừa, mặc bộ quần áo này rất khó chịu.",Có thể miêu tả quan hệ hoặc quần áo.
Chapter 3,借题发挥,lấy cớ để phát biểu ý kiến,Anh không thật sự nói về quần áo mà lấy đó làm cớ bàn về tiêu dùng.,Thường mang giọng phê phán.
Chapter 3,俏,xinh xắn; duyên dáng,Bộ đồ xuân khiến cô trông đặc biệt xinh xắn.,"Thường miêu tả phụ nữ, ngoại hình."
Chapter 3,酷,cool; phong cách,Cô nghĩ tóc ngắn phối áo khoác rất cool.,Từ mượn từ tiếng Anh.
Chapter 3,时尚,thời trang; xu hướng,"Thời trang đổi nhanh, nhưng kiểu cổ điển bền hơn.",Có thể là danh từ hoặc tính từ.
Chapter 3,顺风,thuận gió; thuận lợi,Thời điểm quan trọng trong công việc; thuận gió thì bớt vất vả.,Thường dùng ẩn dụ.
Chapter 3,逆风,ngược gió; gặp khó khăn,"Trong giai đoạn điều chỉnh ngành, doanh nghiệp buộc phải ngược gió.",Ẩn dụ gian khổ.
Chapter 3,免不了,không tránh khỏi; chắc chắn sẽ,Bàn về quần áo không tránh khỏi liên quan đến thẩm mỹ và thời đại.,Khẩu ngữ.
Chapter 3,出神,ngẩn người; lơ đãng,"Cô nhìn đồ cũ, ngẩn người như quay về quá khứ.",Ở đây không phải nghĩa siêu nhiên.
Chapter 3,清纯,thuần khiết; trong sáng,Khí chất tuổi trẻ của cô thuần khiết như gió xuân.,Thường miêu tả ngoại hình hoặc tính cách.
Chapter 3,尝试,thử; thử nghiệm,Cô thử sửa bộ quần áo cũ cho vừa hơn.,Động từ thông dụng.
Chapter 3,乃至,thậm chí; cho đến,Vải mềm đến mức thậm chí có thể mặc sát da.,Liên từ văn viết trang trọng.
Chapter 3,毒品,ma túy; chất gây nghiện,Thanh niên nên hiểu tác hại ma túy và tránh xa.,Chủ đề xã hội nghiêm túc.
Chapter 3,人生,cuộc đời; đời người,Quần áo ghi lại không chỉ phong cách mà cả những đoạn đời.,Danh từ trừu tượng rộng.
Chapter 3,体验,trải nghiệm trực tiếp,Cô dành một ngày ở xưởng may để trải nghiệm công việc thợ may.,Trong văn đọc thường dùng như động từ.
Chapter 3,跻身,bước vào hàng ngũ; gia nhập,Thương hiệu gia nhập tuần lễ thời trang quốc tế và thu hút sự chú ý.,"Trang trọng, thường trong kinh doanh."
Chapter 3,竭诚,hết lòng; chân thành,Nhân viên hết lòng giúp khách chọn size phù hợp.,Thuật ngữ phục vụ trang trọng.
Chapter 3,忠告,lời khuyên chân thành,Lời khuyên chân thành của người lớn khiến anh suy nghĩ lại cách tiêu dùng quần áo.,Có thể là danh từ hoặc động từ.
Chapter 3,童真,sự ngây thơ của trẻ em,"Khi bé mặc quần áo mới, mặt tràn đầy sự ngây thơ.",Phẩm chất tuổi thơ tích cực.
Chapter 3,品尝,nếm; thưởng thức,Thưởng thức từng ngụm trà chậm rãi cũng là cách nghỉ ngơi.,Có thể nghĩa đen hoặc ẩn dụ.
Chapter 3,轻微,nhẹ; không đáng kể,"Vải chỉ nhăn nhẹ, ủi là được.",Trái nghĩa với nghiêm trọng.
Chapter 3,大麻,cần sa; ma tuý cần sa,Pháp luật nghiêm cấm trồng hoặc buôn bán cần sa.,Chỉ bàn trong bối cảnh phòng chống.
Chapter 3,在世为人,sống làm người trên đời,Sống trên đời cần vừa giữ phẩm giá vừa biết điều độ.,Cụm từ triết học.
Chapter 3,底线,ranh giới; giới hạn,Tiêu dùng có thể theo đuổi cái đẹp nhưng không được vượt ranh giới lý trí.,Ẩn dụ thông dụng.
Chapter 3,白领,nhân viên văn phòng,"Nhiều nhân viên văn phòng thích trang phục công sở giản dị, gọn gàng.",Thuật ngữ phân loại xã hội.
Chapter 3,型,kiểu; mẫu; loại,Áo khoác rộng là kiểu thịnh hành năm nay.,Viết tắt của 型号/款式.
Chapter 3,差异,sự khác biệt,Khác biệt giữa hai loại vải chủ yếu ở độ thoáng khí và cảm giác.,Danh từ trang trọng.
Chapter 3,望去,nhìn về phía; ngó về,"Anh nhìn ra ngoài, đám đông trên phố chảy như thủy triều.",Động từ chuyển động văn học.
Chapter 3,透亮,trong veo; trong suốt,"Vải mỏng trong veo, hợp mùa xuân hè.",Miêu tả chất liệu nhẹ.
Chapter 3,哲理,triết lý; lẽ sống,Bài văn rút ra nhiều triết lý cuộc sống từ một bộ quần áo.,Danh từ trừu tượng.
Chapter 3,启示,sự khơi gợi; bài học,Sự tiết kiệm của mẹ cho anh bài học lớn.,Nhận thức tích cực.
Chapter 3,衣橱（柜）,tủ quần áo,"Cô mở tủ quần áo, bên trong treo đồ xuân nhiều năm.",柜 là biến thể khẩu ngữ.
Chapter 3,质地,chất liệu; độ dày vải,"Áo khoác này vải dày, giữ ấm tốt.",Dùng cho vải vóc.
Chapter 3,绝迹,tuyệt tích; biến mất,Nút ếch kiểu cũ gần như tuyệt tích trong thành phố.,Thường nói về phong tục hoặc loài.
Chapter 3,裤腿,ống quần,"Ống quần hơi dài, cần cắt bớt một đoạn.",Bộ phận quần áo.
Chapter 3,灰白,trắng xám; xám trắng,Hai bên thái dương mẹ đã có vài sợi tóc trắng xám.,Miêu tả màu sắc.
Chapter 3,腰围,vòng eo; số đo eo,Thợ may cẩn thận đo eo và vai cô.,Số đo may quần áo.
Chapter 3,容下,chứa được; dung nạp,Tủ nhỏ này không còn chứa thêm đồ đông.,Khả năng chứa không gian.
Chapter 3,当下,hiện tại; lúc này,Xu hướng hiện tại có thể không hợp với mọi người.,Chỉ thời gian.
Chapter 3,遗弃,bỏ rơi; vứt bỏ,Không nên bỏ rơi quần áo còn mặc được.,Mang nghĩa tiêu cực mạnh.
Chapter 3,羞涩,ngượng ngùng; e thẹn,Cô ngượng ngùng cúi đầu chỉnh cổ áo.,Cảm xúc nhẹ nhàng.
Chapter 3,初恋,tình đầu,Ảnh cũ khiến anh nhớ lại sự trong sáng của tình đầu.,Ký ức tình cảm.
Chapter 3,见证,chứng kiến; làm chứng,Những bộ quần áo này chứng kiến sự thay đổi của thời đại.,Thường dùng ẩn dụ.
Chapter 3,沐浴,tắm; tắm trong (ánh sáng),"Sáng sớm, cô tắm trong ánh xuân dịu dàng.",Thường dùng ẩn dụ.
Chapter 3,世俗,trần tục; thế tục,Đừng quá bận tâm đến đánh giá trần tục về cách ăn mặc.,Có thể trung tính hoặc phê phán.
Chapter 3,军绿,xanh quân đội,Áo khoác xanh quân đội từng rất phổ biến.,Từ chỉ màu sắc.
Chapter 3,苗条,mảnh mai; thon thả,Kiểu cắt vừa vặn khiến cô trông thon hơn.,Thường chỉ phụ nữ.
Chapter 3,九牛二虎之力,sức lực rất lớn,Anh dùng hết sức mới khiêng được rương gỗ cũ lên lầu.,Thành ngữ phóng đại.
Chapter 3,讨,xin; đòi hỏi,Màu sắc bộ quần áo này rất vừa mắt.,Nhiều nghĩa; phụ thuộc ngữ cảnh.
Chapter 3,到手,có được; đến tay,Anh xếp hàng lâu mới mua được chiếc áo khoác phiên bản giới hạn.,Khẩu ngữ về việc có được.
Chapter 3,国防绿,xanh quốc phòng,Áo khoác xanh quốc phòng rất phổ biến những năm 1980.,Thuật ngữ thời trang một thời.
Chapter 3,军用,dùng cho quân đội,"Vải bạt quân dụng bền, từng dùng làm túi và giày.","Thuật ngữ chất liệu, kiểu dáng."
Chapter 3,水壶,bình nước; ấm nước,Anh mang theo bình nước và tiếp tục đi trên đường núi.,Đồ dùng hằng ngày.
Chapter 3,强劲,mạnh mẽ; dữ dội,Gió mạnh làm giá treo quần áo kêu loảng xoảng.,Thường nói về lực hoặc xu hướng.
Chapter 3,风行,thịnh hành; lan rộng,"Quần ống rộng từng thịnh hành, rồi lặng lẽ lùi vào quên lãng.",Ngữ cảnh thời trang.
Chapter 3,置身于,đặt mình vào; hòa mình vào,"Hòa mình trong phòng triển lãm, như bước vào lịch sử trang phục.",Văn học.
Chapter 3,审美,thẩm mỹ; gu thẩm mỹ,Đọc sách và du lịch đều giúp mở rộng gu thẩm mỹ.,Thường dùng như danh từ.
Chapter 3,潮流,dòng chảy; xu hướng thời trang,"Xu hướng đổi liên tục, nhưng vừa vặn và đúng mực luôn quan trọng.",Thuật ngữ thời trang.
Chapter 3,昂奋,phấn khích; hưng phấn,"Nghe tin vui, anh trở nên phấn khích và hưng phấn.",Cảm xúc văn học.
Chapter 3,置备,mua sắm; trang bị,Cô mua một bộ đồ dùng học tập cho học kỳ mới.,Cách nói trang trọng về mua sắm.
Chapter 3,沉浸,đắm chìm,"Cô đắm chìm trong ký ức, quên cả thời gian.",Ẩn dụ thông dụng.
Chapter 3,溢美之词,lời khen quá mức,"Đánh giá công việc thực tế, tránh lời khen quá mức.",Phê phán sự nịnh hót.
Chapter 3,开度,độ mở (của áo),"Độ mở trước áo khoác vừa phải, đi lại dễ hơn.",Thuật ngữ thiết kế trang phục.
Chapter 3,极为,cực kỳ; vô cùng,Cô cực kỳ cầu toàn về chi tiết.,Phó từ nhấn mạnh trang trọng.
Chapter 3,夸张,phóng đại; cường điệu,Gọi đồ cũ là vô dụng hơi cường điệu.,Có thể là tính từ hoặc động từ.
Chapter 3,大摇大摆,đi oai vệ; đi ngang ngược,Anh đi oai vệ vào phòng họp như không có ai.,Thường mang giọng tiêu cực.
Chapter 3,提携,dìu dắt; bảo bọc,Sự dìu dắt của tiền bối giúp anh tránh nhiều vòng vo trong sự nghiệp.,"Trang trọng, lịch sự."
Chapter 3,前辈,tiền bối; thế hệ trước,Tiền bối nhắc anh trang phục phải hợp dịp.,Cách gọi tôn trọng.
Chapter 3,感念,nhớ ơn; tri ân,Anh tri ân công lao và sự chăm sóc của mẹ ngày xưa.,"Giọng ấm áp, trang trọng."
Chapter 3,女郎,cô gái; phụ nữ trẻ,Cô gái trên bìa tạp chí mặc trang phục xuân thanh lịch.,"Hơi cổ, trang trọng."
Chapter 3,眼神,ánh mắt; biểu cảm mắt,"Ánh mắt mẹ dịu dàng, như đang khích lệ anh.",Đọc cảm xúc qua mắt.
Chapter 3,凸现,nổi bật; hiện rõ,"Dưới ánh đèn, hoa văn vải nổi bật rõ ràng.",Văn viết trang trọng.
Chapter 3,诧异,ngạc nhiên; kinh ngạc,Anh ngạc nhiên trước sự tăng giá đột ngột.,Thể hiện sự bất ngờ.
Chapter 3,不快,bực bội; không vui,Trò đùa của bạn khiến anh hơi bực bội.,Trạng thái cảm xúc.
Chapter 3,浮现,hiện lên; nảy ra trong tâm trí,Quá khứ hiện lên rõ như bức ảnh cũ.,Thường về ký ức hoặc hình ảnh.
Chapter 3,就此,tại đây; như vậy là xong,Cuộc thảo luận dừng tại đây và kết thúc.,Kết thúc một hành động.
Chapter 3,吱声,lên tiếng; nói một lời,"Anh ngồi góc phòng im lặng lâu, không lên tiếng.",Khẩu ngữ miền Bắc.
Chapter 3,抗拒,chống cự; từ chối,Không phải thanh niên nào cũng chống lại yếu tố trang phục truyền thống.,Tâm lý hoặc thể chất.
Chapter 3,毋庸,không cần phải,"Không cần phải nói, thẩm mỹ thay đổi theo thời đại.",Trang trọng.
Chapter 3,成因,nguyên nhân; yếu tố hình thành,Chuyên gia phân tích nguyên nhân tư duy tiêu dùng này.,Giọng học thuật.
Chapter 3,预示,báo trước; báo hiệu,Mầm non nảy lên báo hiệu xuân đến.,Dự đoán trang trọng.
Chapter 3,凝固,đông cứng; đọng lại (ẩn dụ),"Khoảnh khắc ấy, nụ cười cô như đọng lại trong ảnh.",Thường ẩn dụ trong văn học.
Chapter 3,多变,hay thay đổi; biến động,"Thời tiết xuân hay thay đổi, quần áo nên dễ mặc nhiều lớp.",Miêu tả sự không ổn định.
Chapter 3,预料,dự đoán; liệu trước,Anh không ngờ bộ quần áo cũ lại vừa đến thế.,Dự đoán.
Chapter 3,降临,giáng lâm; đến,"Xuân lặng lẽ đến, phố phường khoác màu nhẹ nhàng hơn.",Sự xuất hiện trang trọng.
Chapter 3,微颤,run rẩy nhẹ,"Giọng cô run nhẹ, nhưng vẫn kể hết câu chuyện.",Chuyển động tinh tế.
Chapter 3,劲风,gió mạnh,"Gió mạnh cuốn tà áo khoác, anh nắm chặt khăn quàng.",Hình ảnh thời tiết.
Chapter 3,相当于,tương đương với,Khoản chi này tương đương nửa tháng sinh hoạt phí.,So sánh.
Chapter 3,效应,hiệu ứng,Quần áo hàng hiệu đôi khi tạo hiệu ứng khoe khoang.,Học thuật hoặc thông dụng.
Chapter 3,轻飘,nhẹ bay; mỏng manh,Tuyết nhẹ rơi lên vai anh rồi tan ngay.,Chất liệu hoặc cách đi đứng.
Chapter 3,诡谲,quái dị; khó lường,"Đêm quái dị khó lường, đèn đường lay trong gió.",Tính từ văn học.
Chapter 3,穿着,trang phục; cách mặc,"Trang phục cô giản dị nhưng gọn gàng, đúng mực.",Trọng tâm danh từ.
Chapter 3,饮食,ăn uống,Ăn uống hợp lý quan trọng hơn mù quáng theo đuổi thời trang.,Chủ đề đời sống.
Chapter 3,俗世,thế tục; thế giới trần tục,"Giữa thế tục, anh vẫn giữ sự nhạy cảm với cái đẹp.",Văn học.
Chapter 3,无可责备,không thể trách; không chê được,"Cách xử lý của anh chắc chắn, không thể chê được.",Lời khen trang trọng.
Chapter 3,甚或,thậm chí; hoặc thậm chí,Sự thay đổi thậm chí ảnh hưởng đến thói quen ăn mặc hằng ngày.,Phó từ nhấn mạnh trang trọng.
Chapter 3,有助于,có lợi cho; giúp,Đọc kinh điển giúp cải thiện khả năng diễn đạt.,Cấu trúc trang trọng với 于.
Chapter 3,提升,nâng cao; cải thiện,Trang phục phù hợp có thể nâng phong thái.,"Thông dụng trong công việc, đời sống."
Chapter 3,情趣,nhu cầu thẩm mỹ; sức hấp dẫn,Một bó hoa tăng thêm nhu cầu thẩm mỹ cho căn phòng.,Thẩm mỹ tích cực.
Chapter 3,良性,tích cực; lành mạnh (vòng tuần hoàn),Tiêu dùng hợp lý giúp hình thành thói quen tích cực.,Thường đi với 良性循环.
Chapter 3,宣泄,giải tỏa (cảm xúc),Viết lách là một cách anh giải tỏa cảm xúc.,Thuật ngữ tâm lý.
Chapter 3,夕阳,hoàng hôn; tuổi già,Hoàng hôn nhuộm vàng giá treo quần áo bên cửa sổ.,Thường mang tính thơ.
Chapter 3,作伴,làm bạn; đồng hành,Anh nuôi mèo làm bạn khi viết ở nhà.,Sự đồng hành.
Chapter 3,活力,sinh lực; năng lượng,Quần áo xuân nhẹ khiến người trông năng động hơn.,Phẩm chất tích cực.
Chapter 3,关爱,quan tâm; chăm sóc,Sự quan tâm của cha mẹ là hỗ trợ quan trọng cho con trưởng thành.,Thuật ngữ xã hội ấm áp.
Chapter 3,底层,tầng lớp dưới; cơ sở,Anh quan tâm nhu cầu trang phục của người lao động cơ sở.,Thuật ngữ phân tầng xã hội.
Chapter 3,深思,suy ngẫm sâu,Việc này đáng suy ngẫm sâu.,Suy nghĩ trang trọng.
Chapter 3,体味,cảm nhận; thưởng thức (trải nghiệm),Chỉ khi cảm nhận chậm mới đọc được cảm xúc sau lời văn.,Động từ văn học.
Chapter 3,松糕鞋,giày đế cao,Giày đế cao từng thịnh hành nhưng sau ít gặp.,Món thời trang.
Chapter 3,三娘教子,Tam Nương dạy con (truyện kinh kịch),Bài văn nhắc câu chuyện này để nói về tầm quan trọng giáo dục gia đình.,Tham chiếu văn hóa.
Chapter 3,性解放,giải phóng tính (theo nghĩa học thuật),Bài học bàn về khái niệm giải phóng tính trong bối cảnh học thuật.,Dùng giọng học thuật trung tính.
Chapter 3,新新人类,thế hệ trẻ mới (từ thập niên 1990),Gu thẩm mỹ thế hệ này khác người lớn tuổi.,Slang một thời.
Chapter 3,毛蓝布,vải xanh thô,Thuở nhỏ anh từng mặc quần vải xanh thô.,Thuật ngữ chất liệu một thời.
Chapter 3,喇叭裤,quần ống loe,Quần ống loe rất phổ biến những năm 1970.,Lịch sử thời trang.
Chapter 4,蜗牛,ốc sên; nhịp sống chậm (ẩn dụ),Tác giả dùng ốc sên làm ẩn dụ cho lối sống chậm giữa xã hội vội vã.,Ẩn dụ trung tâm của bài học.
Chapter 4,七荤八素,choáng váng; rối loạn hoàn toàn,Làm thêm giờ mấy ngày khiến anh choáng váng.,Thành ngữ khẩu ngữ.
Chapter 4,怨艾,oán hận; uất hận,Đừng oán hận quá khứ; học cách buông bỏ quan trọng hơn.,Danh từ văn học.
Chapter 4,闲者,người nhàn rỗi; người ung dung,Người có thời gian rảnh mới quan sát được chi tiết đời sống.,Thuật ngữ bài luận triết học.
Chapter 4,连声,liên tiếp; liên tục,"Khán giả vỗ tay liên tiếp, không khí sôi động.",Phó từ.
Chapter 4,赞许,khen ngợi; tán thưởng,"Giáo viên khen thái độ học tập nghiêm túc, ổn định của anh.",Đánh giá tích cực.
Chapter 4,属,thuộc về; loại,"Vấn đề này thuộc phạm trù lối sống, không cần chính trị hóa quá mức.",Nhiều nghĩa; phụ thuộc ngữ cảnh.
Chapter 4,版,ấn bản; phiên bản,"Sách có bản in sửa đổi, nội dung chính xác hơn.",Thuật ngữ xuất bản.
Chapter 4,足以,đủ để; đủ cho,Vài ví dụ đủ để minh họa quan điểm của anh.,Trang trọng.
Chapter 4,接轨,hội nhập; kết nối (tiêu chuẩn),Phát triển đô thị cần hội nhập với quan niệm xanh.,Thường về kinh tế hoặc tiêu chuẩn.
Chapter 4,步伐,nhịp đi; bước chân,"Chúng ta nên điều chỉnh nhịp đi, đừng vội vàng mọi thứ.",Nghĩa đen và ẩn dụ.
Chapter 4,提速,tăng tốc; đẩy nhanh,"Sau khi tàu cao tốc tăng tốc, thời gian đi lại giảm nhiều.",Thuật ngữ đời sống hiện đại.
Chapter 4,超速,vượt tốc độ,"Vượt tốc độ rất nguy hiểm, phải dừng lại.",Thuật ngữ giao thông.
Chapter 4,镜头,ống kính; cảnh quay,Máy quay chậm rãi lia qua con phố vắng.,Từ vựng truyền thông.
Chapter 4,隐去,ẩn đi; biến mất khỏi tầm nhìn,"Hoàng hôn, núi xa dần ẩn khỏi tầm mắt.",Văn học.
Chapter 4,起身,đứng dậy; ngồi dậy,"Anh đứng dậy đóng cửa sổ, căn phòng yên lại.",Động tác hằng ngày.
Chapter 4,卡,bị kẹt; đơ (từ mượn),"Máy tính lại bị kẹt, anh phải tạm dừng công việc.",Khẩu ngữ công nghệ.
Chapter 4,家人,người thân trong gia đình,"Dù bận rộn, hãy dành thời gian cho gia đình.",Từ ấm áp về gia đình.
Chapter 4,恋人,người yêu; tình nhân,Hai người yêu đi bộ chậm rãi dưới hoàng hôn.,Thuật ngữ quan hệ.
Chapter 4,书信,thư từ; thư tín,Anh liên lạc với bạn xa qua thư từ.,Giao tiếp truyền thống.
Chapter 4,灶,bếp lò; bếp núc,Ấm nước trên bếp sôi nhẹ nhàng.,Hình ảnh đời sống gia đình.
Chapter 4,往日,ngày xưa; thuở trước,Ngày xưa cả nhà quây quần bên bếp lò rất ấm áp.,Hoài niệm.
Chapter 4,阖家,cả gia đình,Tết Nguyên đán là dịp quan trọng để cả gia đình sum họp.,"Văn viết, trang trọng."
Chapter 4,进餐,dùng bữa; ăn cơm,"Ăn chậm, nhai kỹ giúp tiêu hóa.",Cách nói trang trọng về ăn uống.
Chapter 4,天伦之乐,niềm vui gia đình,Về nhà cuối tuần mang lại niềm vui gia đình và thư giãn.,Thành ngữ về gia đình.
Chapter 4,追忆,hồi tưởng; nhớ lại,Anh hồi tưởng nhịp sống chậm hơn ngày xưa.,Ký ức văn học.
Chapter 4,场景,cảnh; bối cảnh,Miêu tả cảnh mở đầu rất tinh tế.,Thuật ngữ kể chuyện.
Chapter 4,弹簧,lò xo; bật lại (ẩn dụ),"Lò xo bị nén rồi bật lại, như nhịp sống con người.",Ẩn dụ vật lý trong bài.
Chapter 4,松弛,thư giãn; nới lỏng,"Cuối tuần giúp anh thư giãn, bớt căng thẳng.",Trái nghĩa với căng thẳng.
Chapter 4,有心,cố ý; chu đáo,"Anh cố ý chậm lại, nhưng công việc cứ chen ngang.",Ý định hoặc sự chu đáo.
Chapter 4,放缓,chậm lại; giảm tốc,Thành phố bắt đầu khuyến khích chậm lại nhịp sống.,"Thuật ngữ chính sách, lối sống."
Chapter 4,步子,bước chân; nhịp đi,"Bước chân anh chậm lại, cảnh phố hiện rõ hơn.",Khẩu ngữ.
Chapter 4,人潮,dòng người; đám đông,"Giờ cao điểm dòng người cuồn cuộn, tàu điện ngầm chật cứng.",Hình ảnh đô thị.
Chapter 4,蒸汽机,máy hơi nước,Máy hơi nước thay đổi cách con người sản xuất.,Lịch sử công nghiệp.
Chapter 4,原意,ý nghĩa gốc; ý đồ ban đầu,Trích dẫn sai ngữ cảnh làm méo mó ý đồ ban đầu của tác giả.,Giải thích văn bản.
Chapter 4,劳动力,lực lượng lao động,Thời đại hơi nước giải phóng lượng lớn lao động.,Thuật ngữ kinh tế.
Chapter 4,随之而起,phát sinh theo; nổi lên cùng,"Công nghệ mới phát sinh theo, nhịp sống càng nhanh.",Trình tự trang trọng.
Chapter 4,休闲,nghỉ ngơi; giải trí,Cuối tuần anh thích đọc sách và nghỉ ngơi ở nhà.,Lối sống hiện đại.
Chapter 4,增,tăng; thêm,Dân số đô thị vài năm qua liên tục tăng.,Thường trong từ ghép.
Chapter 4,后期,giai đoạn sau; hậu kỳ,Bài văn này được chỉnh sửa nhiều ở giai đoạn sau.,Chỉ thời gian.
Chapter 4,大大,rất; đáng kể,Chính sách mới rút ngắn đáng kể thời gian phê duyệt.,Phó từ nhấn mạnh khẩu ngữ.
Chapter 4,精简,tinh gọn; đơn giản hóa,Tinh gọn cuộc họp để có thêm thời gian suy nghĩ.,Hiệu quả tích cực.
Chapter 4,冷冰冰,lạnh lẽo; lạnh lùng,Phía sau dữ liệu lạnh lẽo vẫn còn hơi ấm con người.,Từ lặp âm.
Chapter 4,失却,mất đi; đánh mất,Nhịp sống nhanh khiến ta mất kiên nhẫn với hội thoại chậm.,Văn học.
Chapter 4,浪漫,lãng mạn,"Anh vẫn giữ chút lãng mạn, thích đi bộ ban đêm.",Thẩm mỹ tích cực.
Chapter 4,悠闲,nhàn nhã; ung dung,"Cuộc sống thị trấn nhỏ nhàn nhã, thời gian như chậm lại.",Lý tưởng sống chậm.
Chapter 4,节奏,nhịp điệu; nhịp sống,Tìm nhịp sống riêng quan trọng hơn mù quáng chạy nhanh.,Chủ đề trung tâm bài học.
Chapter 4,目眩,chóng mặt; lóa mắt,"Đèn neon chói mắt, dễ khiến người ta mất phương hướng.",Cảm giác thể chất.
Chapter 4,递增,tăng dần; leo thang,"Áp lực đô thị tăng dần theo năm, cần cân bằng.",Miêu tả xu hướng.
Chapter 4,分秒必争,từng phút đều quý; tranh thủ thời gian,"Anh tranh thủ từng phút ở công sở, hiếm khi nghỉ.",Lối sống bận rộn.
Chapter 4,视为,coi là; xem như,Nhiều người coi bận rộn là dấu hiệu thành công.,Trang trọng.
Chapter 4,等同,đồng nhất với; tương đương,Hiệu suất không thể đồng nhất với sự phong phú nhân văn.,So sánh.
Chapter 4,懒惰,lười biếng,Sống chậm không có nghĩa là lười biếng.,Thường mang nghĩa tiêu cực.
Chapter 4,资讯,tin tức; thông tin,"Càng nhiều thông tin, càng cần biết lọc.",Thuật ngữ truyền thông hiện đại.
Chapter 4,快捷,nhanh và tiện lợi,Nhanh không đồng nghĩa chất lượng cao; phải biết mục tiêu.,Đời sống hiện đại.
Chapter 4,回报,đền đáp; lợi ích,Con người làm việc và cũng mong có lợi ích xứng đáng.,Kinh tế hoặc xã hội.
Chapter 4,理财,quản lý tài chính,Quản lý tài chính hợp lý giúp giảm áp lực cuộc sống.,Kỹ năng hiện đại.
Chapter 4,忙碌,bận rộn; tất bật,Anh bận cả ngày nhưng hiếm khi thật sự nghỉ ngơi.,Trạng thái thông dụng.
