Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 4,起码,Cách 1: Phó từ “ít nhất / tối thiểu”; đặt ngưỡng thấp nhất cần hoặc mong đợi.,"Muốn đậu kỳ thi piano chuyên nghiệp, mỗi ngày ít nhất phải luyện ba giờ.","Theo tiến độ hiện tại, xây nhà thi đấu lớn còn ít nhất nửa năm nữa.","Dù bận đến đâu, gọi điện hỏi thăm người già trong nhà chắc làm được chứ?"
Chapter 4,起码,Cách 2: Tính từ “cơ bản / tối thiểu” về quy tắc hoặc kỳ vọng bắt buộc.,Không chen ngang khi người khác nói là tôn trọng tối thiểu với người khác.,"Là nhà báo, tìm chân lý từ sự thật là đạo đức nghề nghiệp tối thiểu.","Suy đoán của anh đầy lỗ hổng, hoàn toàn thiếu logic cơ bản."
Chapter 4,过于,Phó từ trang trọng “quá / quá mức”; theo ngay tính từ hoặc động từ tâm lý hai âm tiết.,"Anh do dự quá mức khi quyết định, nên lỡ cơ hội đầu tư quý giá.","Cha mẹ không cần can thiệp quá sâu đời sống con, nên nuôi khả năng tự lập.","Kết luận báo cáo thị trường viết quá lạc quan, bỏ qua rủi ro tài chính tiềm ẩn."
Chapter 4,以……著称,Khung văn viết trang trọng: “nổi tiếng vì… / được biết đến nhờ…”.,Nhà hàng trăm năm này luôn nổi tiếng nhờ phục vụ chu đáo và nguyên liệu tươi.,Kỳ thủ cờ vây trẻ ấy trong giải luôn nổi tiếng tư duy nhanh và phong cách mạnh.,Cổ trấn Giang Nam nổi danh thế giới nhờ phong cảnh thủy hương thanh nhã và nền văn hóa sâu dày.
Chapter 4,幸好,"Phó từ “may mà / may sao”; điểm cứu cánh tránh thảm họa, thường đi với 不然/否则.","May mà hôm nay mang ô, không thì mưa đêm sau chắc ướt sũng.","May có đội cứu hộ đến kịp, người bị thương trong đống đổ nát thoát hiểm ngay.","Lúc diễn thuyết suýt quên lời, may thấy ánh mắt khích lệ của thầy dưới khán đài, từ từ bình tĩnh lại."
Chapter 5,给……以……,Khung văn viết trang trọng: “ban cho / trao cho [ai] [điều trừu tượng]”.,"Đối với nghệ nhân truyền thống gặp khó, chính phủ trao hỗ trợ tài chính lớn.",Ánh mắt tin tưởng của thầy trao cho em niềm tin lớn để vượt kỳ thi piano cuối kỳ.,"Ai cố tình gian lận trong thi, phá công bằng, trường chắc chắn xử phạt nghiêm."
Chapter 5,纯属……,“Hoàn toàn là / thuần túy là”; khẳng định không có thực tế khác.,"Gặp nhau trên phố nước ngoài là trùng hợp thuần túy, trước không hẹn gì.","Tin trung tâm văn hóa sắp đóng cửa lan truyền là tin đồn thuần túy, đừng tin mù quáng.","Được thấm nhiễm môi trường nghệ thuật cao nhã từ nhỏ, với anh đó là may mắn thuần túy."
Chapter 5,急于……,"“Vội / nôn nóng muốn…”; tâm lý gấp gáp, thường ám chỉ vội vàng dễ gặp rắc rối.","Nhiều phụ huynh vội muốn con có chứng chỉ piano, lại bỏ qua luyện tập nền tảng tối thiểu.","Trước câu hỏi gay gắt của sếp, anh vội biện minh cho sự bất cẩn, càng nói càng rối.","Người mới vào nghề hay nôn chứng minh năng lực, không đáng trách, nhưng cần chìm xuống tích lũy kinh nghiệm."
Chapter 5,至于……,Cách 1: Liên từ chuyển chủ đề: “còn về… / đối với…”.,Việc trước mắt là thúc mình viết xong luận văn; chuyện tìm việc để tháng sau tính.,Phần cứng điện thoại mới rất mạnh; còn hệ điều hành có dễ dùng không tùy phản hồi người dùng.,Chúng tôi cho anh sân khấu thể hiện tài năng; còn có nổi bật hay không tùy nỗ lực dài hạn của anh.
Chapter 5,至于……,Cách 2: Chỉ mức độ giới hạn (“đến mức…”); hay dùng phủ định 不至于 hoặc tu từ 何至于.,"Lần thi này anh không đạt, nhưng anh không cần tức đến mức không cho anh ăn.","Chỉ vì bất đồng nhỏ, sao hai người lại đến mức cắt đứt tình bạn?","Dù sống hơi khó, cũng tuyệt không đến mức một bữa no cũng thành hy vọng viển vông."
Chapter 5,予以……,Động từ hành chính trang trọng: “ban cho / dành cho” hành động hoặc đối xử chính thức; thay cho 给.,"Trước tin đồn tài chính, bộ PR chiều nay họp báo để làm rõ.",Cảm ơn người dân đã thông cảm và hợp tác mạnh trong quá trình trồng rừng sin thái đô thị.,Đề xuất của anh rất mang tính xây dựng; ban lãnh đạo rất coi trọng và chắc chắn xem xét nghiêm túc.
