Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 4,快捷 - 敏捷,快捷 (kuàijié),서비스·시스템·교통·도구 등이 시간을 절약하고 효율적.,추상 서비스·절차 수식 (快捷的支付方式).,오늘날 인터넷으로 정보 전달이 매우 빠르고 편리하다.,지하철은 도시에서 가장 빠른 교통수단 중 하나로 막힘 걱정이 없다.
Chapter 4,快捷 - 敏捷,敏捷 (mǐnjié),사람의 신체 동작·사고·반응이 빠르고 민첩함.,"사람 행동·사고 (思维敏捷, 身手敏捷).",나이가 많아도 그 노인의 동작은 여전히 매우 민첩하다.,프로그래머는 민첩한 사고로 짧은 시간에 코드 오류를 찾아야 한다.
Chapter 4,预测 - 推测,预测 (yùcè),데이터·모델·전문 계산에 근거한 미래 예측.,동사·명사. 미래 결과와 결합 (预测天气).,기상청은 내일 오후 폭우가 올 것으로 예보했다.,전문가들이 향후 5년간 AI가 고용 시장에 미칠 영향을 예측 중이다.
Chapter 4,预测 - 推测,推测 (tuīcè),단서·증거·논리로 미지·과거·동기를 추론.,논리·의도·원인 (根据线索推测).,경찰은 현장 발자국으로 용의자 키가 약 180cm임을 추정했다.,붓은 눈으로 보아 방금 크게 울었음을 짐작할 수 있다.
Chapter 4,过于 - 过分,过于 (guòyú),문어 부사. '지나치게'. 상태·심리를 객관적으로 과다 표현.,부사만. 뒤에 형용사·동사 (过于谦虚).,그는 일에서 지나치게 완벽을 추구해 공정이 지연되었다.,부모가 자녀 미래를 지나치게 걱정할 필요는 없고 독립할 기회를 줘야 한다.
Chapter 4,过于 - 过分,过分 (guòfèn),행동·말이 도덕·상식의 한계를 넘음. 강한 책망·불만.,형용사로 단독 서술 가능 (你太过分了！). 부사로도 씀.,공공장소에서 웨이터를 큰 소리로 꾸짖는 것은 정말 선을 넘었다.,잘못은 했지만 공개적으로 무릎 꿇게 하는 처벌은 너무 지나치다.
Chapter 4,快速 - 迅速,快速 (kuàisù),일정 기간 동안 높은 속도가 지속됨. 사실적·중립적.,"명사 앞 속성 (快速通道, 快速消费品).",도시가 빠르게 발전하며 예전 교외가 번화한 상업지가 되었다.,정보를 빠르게 얻는 시대지만 파편적 독서는 깊은 사고를 잃게 한다.
Chapter 4,快速 - 迅速,迅速 (xùnsù),반응·변화가 즉각적. 촉발 직후 바로 일어남.,"부사로 즉시 실행 (迅速撤离, 迅速作出反应).",화재 후 소방관이 신속히 현장에 도착해 불을 잡았다.,노크 소리에 강아지가 재빨리 소파에서 내려와 문으로 달려가 꼬리를 흔들었다.
Chapter 5,依赖 - 依靠,依赖 (yīlài),"부정적: 독립 못함, 건강하지 않은 지지·중독.",추상 대상. 对……产生依赖 구조.,많은 아이가 부모의 감독에 지나치게 의존해 스스로 공부하지 못한다.,시험 불안을 약으로 오래 풀려는 것은 근본 해결책이 아니다.
Chapter 5,依赖 - 依靠,依靠 (yīkào),중립·긍정: 든든한 기반·보호·수입원에 기대다.,동사·명사 '의지할 곳' (失去了依靠).,오랫동안 타지에서 고생하며 가족의 지지가 그가 버티는 단단한 버팀목이었다.,피아노 급수 시험에 합격하려면 운만 믿지 말고 오랜 연습에 의지해야 한다.
Chapter 5,营造 - 营建,营造 (yíngzào),추상적 분위기·환경·문화 기후를 조성.,"분위기류 추상명사 (营造氛围, 营造环境).",부모는 가정에서 고상한 예술 분위기를 조성해 아이가 어릴 때부터 영향을 받게 해야 한다.,교庆을 맞아 교사와 학생이 함께 즐겁고 뜨거운 축제 분위기를 만들었다.
Chapter 5,营造 - 营建,营建 (yíngjiàn),대규모 실물 시설·건물·지리 기반을 건설.,"건축·지리 구체명사 (营建住宅区, 营建防护林).",정부는 도시 북부에 대규모 생태 방호림을 조성할 계획이다.,이 고찰은 수백 년 전 지을 때 막대한 인력과 물자를 들였다.
Chapter 5,指点 - 指示,指点 (zhǐdiǎn),조언·힌트·지도. 비격식·전문가 동료 간.,사람을 목적어로 (请指点我一下).,다행히 교수님의 지도 덕에 이 교향곡의 깊은 뜻을 비로소 이해했다.,선배가 논문 주제를 짚어 주지 않았다면 졸업 설계에 두 주는 더 걸렸을 것이다.
Chapter 5,指点 - 指示,指示 (zhǐshì),공식·권위적 명령·지침. 상급→하급.,명사 (听从领导的指示) 또는 행정 절차 목적어.,상급 부서 지시에 따라 급수 시험 부정행위를 전면 조사해야 한다.,매니저가 오늘 퇴근 전까지 이번 달 요약 보고서를 제출하라고 지시했다.
Chapter 5,敏捷 - 灵敏,敏捷 (mǐnjié),사람 사고·행동의 속도와 협응.,"사람 (思维敏捷, 身手敏捷).",그의 사고는 매우 민첩해 토론에서 상대 논리 허점을 순간적으로 찾는다.,그 곡예인은 공중에서 고난도 동작을 가볍게 완수했다.
Chapter 5,敏捷 - 灵敏,灵敏 (língmǐn),감각·센서·기기의 예민한 반응·탐지.,"감각·기기 (听觉灵敏, 仪器灵敏).",자연 환경의 영향을 자주 받는 사람은 삶의 아름다움에 더 예민하게 느낀다.,이 신형 전자 튜너는 기타 현이 조금만 어긋나도 감지한다.
Chapter 5,延伸 - 延长,延伸 (yánshēn),공간·방향으로 더 뻗음. 도로·시선·경계 등.,공간·지리 (公路向远方延伸).,새 고속철 노선이 서쪽으로 500km 더 연장된다.,그의 시선은 창밖을 지나 거리 끝 랜드마크 건물까지 이어졌다.
Chapter 5,延伸 - 延长,延长 (yáncháng),시간·기한을 늘림.,"시간 (延长寿命, 延长开放时间).",수험생에게 더 많은 복습 시간을 주려고 도서관 개방 시간을 밤늦게까지 연장했다.,규칙적인 생활과 채소·과일 섭취는 수명을 늘리는 좋은 방법이다.
