Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 4,过于 - 过分,过分 (guòfèn),Adjetivo que indica que palabras o acciones cruzaron limites morales o aceptables; con fuerte reproche emocional.,Puede ser adjetivo y funcionar solo como predicado (你太过分了). Tambien puede actuar como adverbio.,Gritarle al camarero en publico es una conducta realmente fuera de lugar.,"Aunque cometio un error, obligarlo a arrodillarse en publico como castigo tambien es demasiado extremo."
Chapter 4,快速 - 迅速,快速 (kuàisù),Enfatiza una velocidad alta sostenida durante un periodo continuo; descriptor objetivo de operaciones de alta velocidad.,"Muy usado como modificador atributivo antes de sustantivos (快速通道, 快速消费品).","Con el rapido desarrollo de la ciudad, los antiguos suburbios se han vuelto zonas comerciales prosperas.","Vivimos en una era de acceso rapido a informacion, pero la lectura fragmentada puede hacer perder profundidad de pensamiento."
Chapter 4,快速 - 迅速,迅速 (xùnsù),"Enfatiza inmediatez, poco tiempo de reaccion y cambio justo tras un detonante.","Se usa con frecuencia como adverbio para acciones ejecutadas de inmediato (迅速撤离, 迅速作出反应).","Tras declararse el incendio, los bomberos llegaron rapidamente y controlaron el fuego.","Al oir que tocaban la puerta, el cachorro salto enseguida del sofa y corrio moviendo la cola."
Chapter 5,依赖 - 依靠,依赖 (yīlài),Tiene tono negativo o restrictivo: incapacidad de independencia o dependencia poco sana.,Suele tomar objetos abstractos (依赖技术) y aparece con frecuencia en la estructura 对……产生依赖.,Muchos ninos hoy dependen en exceso de la supervision de sus padres y carecen de autonomia para estudiar.,Depender de medicamentos a largo plazo para aliviar ansiedad de examenes no es solucion duradera.
Chapter 5,依赖 - 依靠,依靠 (yīkào),"Palabra neutra o positiva que enfatiza una base solida, apoyo o fuente de fuerza, ayuda o sustento.",Funciona como verbo y sustantivo con sentido de apoyo en quien apoyarse (失去了依靠).,"Tras anos luchando fuera de casa, el apoyo de su familia siempre fue su respaldo firme para seguir adelante.",Para aprobar el examen de piano no basta con suerte; hay que apoyarse en practica constante y ardua.
Chapter 5,营造 - 营建,营造 (yíngzào),"Se usa para crear entornos, sensaciones, climas culturales o atmosferas abstractas e intangibles.","Casi siempre combina con sustantivos abstractos relacionados con atmosfera (营造氛围, 营造环境).",Los padres deben crear en casa un buen ambiente artistico elegante para nutrir a los hijos desde pequenos.,"Para celebrar el aniversario escolar, toda la comunidad educativa creo una atmosfera festiva alegre y calida."
Chapter 5,营造 - 营建,营建 (yíngjiàn),"Se usa estrictamente para construccion fisica de estructuras, instalaciones o bases geograficas concretas a gran escala.","Combina con sustantivos concretos de arquitectura o geografia (营建住宅区, 营建防护林).",El gobierno planea construir un gran bosque ecologico de proteccion en el norte de la ciudad.,"Cuando este antiguo templo se construyo hace siglos, se invirtieron enormes recursos humanos y materiales."
Chapter 5,指点 - 指示,指点 (zhǐdiǎn),"Consejos concretos, sugerencias o pistas para ayudar a resolver un problema o mejorar una habilidad.",Puede tomar persona directamente como objeto gramatical (谢谢您的指点 / 请指点我一下).,"Por suerte, con las orientaciones de ese profesor profesional, por fin entendi el sentido profundo de esta sinfonia.","Sin la orientacion de mi companero mayor sobre el tema de tesis, mi proyecto de graduacion habria tardado dos semanas mas."
Chapter 5,指点 - 指示,指示 (zhǐshì),Instrucciones o directivas formales y autoritarias emitidas por una instancia superior hacia subordinados.,Se usa como sustantivo (听从领导的指示) y como verbo transitivo en acciones administrativas oficiales.,Debemos seguir estrictamente las directivas de la autoridad superior para investigar a fondo trampas en examenes.,El gerente envio instrucciones para que todo el personal entregue el informe mensual antes de salir hoy.
Chapter 5,敏捷 - 灵敏,敏捷 (mǐnjié),Se enfoca en rapidez y coordinacion fisica o mental de acciones y pensamiento humanos.,"Modifica acciones humanas o capacidad de pensamiento (思维敏捷, 身手敏捷).",Su pensamiento es muy agil; en debates detecta al instante fallas logicas del rival.,Ese acrobata se movia con gran agilidad y completo maniobras dificiles en el aire con facilidad.
Chapter 5,敏捷 - 灵敏,灵敏 (língmǐn),Se centra en capacidad de deteccion y precision reactiva de sentidos o instrumentos ante estimulos.,"Modifica sentidos corporales (听觉灵敏) y herramientas tecnicas de precision (仪器灵敏, 传感器灵敏).",Quienes se nutren seguido en ambientes naturales suelen tener una percepcion mas fina de la belleza cotidiana.,Este afinador electronico nuevo es muy sensible: detecta hasta una desviacion minima en la cuerda de una guitarra.
Chapter 5,延伸 - 延长,延伸 (yánshēn),"Se refiere a direccion espacial o longitud geografica: una linea, via o limite que se prolonga en el espacio.","Sus objetos son estrictamente espaciales o geograficos (公路向远方延伸, 视线延伸).","La nueva linea de tren rapido se extendera 500 kilometros hacia el oeste, facilitando mucho a los residentes de la zona.",Su mirada atraveso la ventana y se extendio hasta el edificio emblematico al final de la calle.
Chapter 5,延伸 - 延长,延长 (yáncháng),"Se refiere a duracion temporal, plazos o periodos: hacer mas largo un marco de tiempo programado.","Sus objetos son estrictamente de tiempo o duracion (延长寿命, 延长开放时间, 延长截止日期).","Para dar mas tiempo de repaso a los candidatos, la biblioteca decidio ampliar su horario hasta medianoche.",Mantener rutinas saludables y comer mas frutas y verduras es una buena forma de prolongar la vida.
