Chapter,hanzi,meaning,example_en,usage_note
Chapter 3,俏,bonita; animada y encantadora,El traje de primavera la hizo parecer especialmente bonita.,A menudo para mujeres/apariencia.
Chapter 3,酷,fresco; elegante,Cree que el pelo corto con un abrigo de trinchera se ve genial.,Uso de palabras magras.
Chapter 3,时尚,moda; tendencia,"La moda cambia rápidamente, pero los estilos clásicos duran más.",Puede ser sustantivo o adjetivo.
Chapter 3,顺风,con el viento; ir suavemente,El tiempo importa en el trabajo; ir con el viento toma menos esfuerzo.,A menudo figurativo.
Chapter 3,逆风,contra el viento; los vientos faciales,"Durante el ajuste de la industria, las empresas inevitablemente se mueven contra el viento.",Dificultades figurativas.
Chapter 3,免不了,inevitable; obligado a,Hablar sobre la ropa implica inevitablemente la estética y los tiempos.,Coloquial.
Chapter 3,出神,perdido en el pensamiento; en un trance,"Ella miró la ropa vieja, perdida en el pensamiento, como si de vuelta en el pasado.",No significa algo sobrenatural aquí.
Chapter 3,清纯,puro; inocente,"Su aire juvenil era puro, como una brisa de primavera.",A menudo describe apariencia o carácter.
Chapter 3,尝试,intentar; intentar,Trató de alterar la vieja prenda para un mejor ajuste.,Verbo general.
Chapter 3,乃至,incluso para; ir hasta,Este tejido es tan suave que incluso puede usarse junto a la piel.,Conector formal escrito.
Chapter 3,毒品,estupefacientes,Los jóvenes deben entender el daño de las drogas y mantenerse lejos.,Tema social serio.
Chapter 3,人生,la vida; la vida de uno,"La ropa registra no sólo estilo, sino también episodios de vida.",Un sustantivo abstracto.
Chapter 3,体验,experiencia (de primera mano),Pasó un día en una fábrica experimentando el trabajo de una costurera.,A menudo verbo en textos de lectura.
Chapter 3,跻身,unirse a las filas de; entrar,La marca se unió a las semanas internacionales de moda y llamó la atención.,"Formal, a menudo negocio."
Chapter 3,竭诚,con toda sinceridad,El empleado ayudó a los clientes a elegir el tamaño adecuado.,Servicio formal.
Chapter 3,忠告,consejo sincero,El consejo sincero de los ancianos le hizo repensar el consumo de ropa.,Noun o verbo.
Chapter 3,童真,inocencia infantil,"Cuando el niño puso ropa nueva, su cara estaba llena de inocencia.",Calidad positiva de la infancia.
Chapter 3,品尝,sabor; sabor,Saborando lentamente una taza de té también es una forma de descanso.,Puede ser literal o figurativo.
Chapter 3,轻微,leve; menor,El tejido sólo tiene arrugas leves; el planchado lo arreglará.,Opuesta a severa.
Chapter 3,大麻,cannabis; marihuana,La ley prohíbe estrictamente el cultivo o la venta de cannabis.,Discuss in prevention context only.
Chapter 3,在世为人,vivir la vida en este mundo,Vivir en este mundo requiere tanto dignidad como moderación.,Frase filosófica.
Chapter 3,底线,línea inferior; límite,El consumo puede perseguir la belleza pero no debe cruzar la línea de la razón.,metáfora común.
Chapter 3,白领,trabajador de cuello blanco,Muchos trabajadores de cuello blanco prefieren el uso simple y agudo de oficina.,Período de categoría social.
Chapter 3,型,estilo; tipo; modelo,Los abrigos de lujo están en estilo este año.,Corto para нелитовали / ватите.
Chapter 3,差异,diferencia; discrepancia,La diferencia entre los dos tejidos radica principalmente en la transpirabilidad y la sensación.,Un sustantivo formal.
Chapter 3,望去,mirar hacia; mirar en una dirección,Miró hacia fuera; la multitud en la calle fluía como una marea.,Verbo de movimiento literario.
Chapter 3,透亮,brillante y claro; translúcido,"La gasa es brillante y transparente, adecuado para primavera y verano.",Describe materiales ligeros.
Chapter 3,哲理,filosofía; visión filosófica,El ensayo dibuja mucha filosofía de vida de una sola prenda.,Abstract noun.
Chapter 3,启示,iluminación; revelación,El robo de la madre le dio una gran iluminación.,Perspicacia positiva.
Chapter 3,衣橱（柜）,armario; armario,Abrió el armario; ropa de primavera de muchos años colgó dentro.,柜 es variante coloquial.
Chapter 3,质地,textura; calidad del material,Este abrigo tiene una textura gruesa y mantiene caliente bien.,Usado para telas.
Chapter 3,绝迹,desaparecer; volverse extinguido,Ese viejo botón de rana casi ha desaparecido en la ciudad.,A menudo para aduanas/especie.
Chapter 3,裤腿,trouser leg,Las piernas trouser son un poco largas y necesitan acortarse por una pulgada.,Parte de ropa.
Chapter 3,灰白,blanco asno; blanco gris,Ya había algunos hilos blancos ashen en los templos de la Madre.,Descripción de color.
Chapter 3,腰围,cintura; medición de la cintura,El sastre midió cuidadosamente su cintura y sus hombros.,Medición de ropa.
Chapter 3,容下,espera; alojamiento,Este pequeño armario ya no puede contener más ropa de invierno.,Capacidad espacial.
Chapter 3,当下,en la actualidad; ahora mismo,Las tendencias actuales pueden no adaptarse a todos.,Referencia del tiempo.
Chapter 3,遗弃,abandono; abandono,Uno no debe abandonar casualmente la ropa que todavía se puede usar.,Fuerte negativo.
Chapter 3,羞涩,tímido; tímido,Ella tímidamente bajó la cabeza para enderezar su cuello.,Una emoción suave.
Chapter 3,初恋,primer amor,La vieja foto le recordó la inocencia del primer amor.,Memoria emocional.
Chapter 3,见证,testigo; testificar,Estas prendas presenciaron los cambios de los tiempos.,A menudo figurativo.
Chapter 3,沐浴,baño; bajo en,"En la madrugada, se abría en la suave luz de primavera.",A menudo figurativo.
Chapter 3,世俗,secular; mundano,No te importan demasiado los juicios mundanos en el vestido.,Puede ser neutral o crítico.
Chapter 3,军绿,ejército verde,Los abrigos de trinchera verde del ejército eran una vez muy populares.,Termino de color.
Chapter 3,苗条,delgado; delgado,Un corte bien ajustado hizo que pareciera más lento.,Por lo general para las mujeres.
Chapter 3,九牛二虎之力,esfuerzo tremendo,Usó un tremendo esfuerzo para llevar el viejo pecho de madera arriba.,idioma exagerado.
Chapter 3,讨,pedir; demanda,El color de esta prenda es muy agradable.,Polysemous; context matters.
Chapter 3,到手,obtener; obtener,Se quebró mucho tiempo antes de conseguir el abrigo de edición limitada.,Adquisición coloquial.
Chapter 3,国防绿,defensa nacional verde,"En los años ochenta, los abrigos verdes de defensa nacional eran comunes.",Período de moda.
Chapter 3,军用,uso militar,La tela militar es dura y se usó para bolsas y zapatos.,Material / estilo término.
Chapter 3,水壶,cantina; hervidor; botella de agua,Llevaba una cantina y continuaba por el sendero de la montaña.,Objeto de cada día.
Chapter 3,强劲,potente; robusto,El poderoso viento hizo que la perchera de la ropa revoloteara.,A menudo para la fuerza / torrend.
Chapter 3,风行,estar en vogue; prevalecer,"Pantalones de piernas anchas fueron una vez en vogue, y luego se desvaneció tranquilamente.",Contexto de moda.
Chapter 3,置身于,colocar uno mismo en; estar inmerso en,"Situado en la sala de exposiciones, uno parecía entrar en la historia del vestido.",Literario.
Chapter 3,审美,estética; gusto en belleza,La lectura y el viaje ayudan a ampliar el sentido estético.,A menudo no-como el uso.
Chapter 3,潮流,tendencia; marea de moda,"Las tendencias cambian, pero el ajuste y la propiedad siempre importan.",Plazo de moda.
Chapter 3,昂奋,excitado; revuelto,"Escuchando las buenas noticias, se puso nervioso y elevado.",La emoción literaria.
Chapter 3,置备,compra; equipamiento,Compró un conjunto de suministros de estudio para el nuevo semestre.,Compra formal.
Chapter 3,沉浸,estar inmerso en,Estaba inmersa en recuerdos y perdió un rastro del tiempo.,Común figurativa.
Chapter 3,溢美之词,elogio excesivo; halaga,Evaluar el trabajo de manera realista y evitar el elogio excesivo.,Crítico de halago.
Chapter 3,开度,ancho de apertura (de prenda),"La abertura frontal del abrigo es moderada, facilitando el caminar.",Plazo de diseño de garaje.
Chapter 3,极为,extremadamente;,Es muy particular sobre los detalles.,Intensificador formal.
Chapter 3,夸张,exagerado; exagerado,Llamar ropa vieja sin valor es algo exagerado.,Puede ser adj o verbo.
Chapter 3,大摇大摆,swagger; caminar ostentosamente,Volvió a la sala de reuniones como si nadie más estuviera allí.,A menudo de manera negativa.
Chapter 3,提携,guía y apoyo; mentor,El apoyo de mentores mayores le ayudó a evitar desvíos en su carrera.,Formal/polita.
Chapter 3,前辈,mayores; mayores generaciones,Los mayores le recordaron que el vestido debe adaptarse a la ocasión.,Un término respetuoso.
Chapter 3,感念,recordar con gratitud,Recuerda con gratitud el pasado trabajo y cuidado de su madre.,Tono formal caliente.
Chapter 3,女郎,jovencita; mujer,La joven en la portada de la revista llevaba un elegante traje de primavera.,Ligeramente fechada/formal.
Chapter 3,眼神,mirar en los ojos de uno; expresión,"La mirada de la madre era suave, como si lo animara.",Lectura emocional.
Chapter 3,凸现,de pie; emerge claramente,"Bajo la luz, la textura del tejido se destacó claramente.",Formal escrito.
Chapter 3,诧异,asombrado; sorprendido,Se sorprendió con el aumento repentino de los precios.,Muestra sorpresa.
Chapter 3,不快,infeliz; desagradable,La broma de un amigo le dejó un poco disgustado.,Estado emocional.
Chapter 3,浮现,emerger; venir a la mente,El pasado surgió claramente como una vieja fotografía.,A menudo recuerdos / imágenes.
Chapter 3,就此,en este punto; así,La discusión se detiene aquí y se acerca.,Envuelve una acción.
Chapter 3,吱声,pronunciar un sonido; hablar,Se sentó en la esquina sin una palabra por mucho tiempo.,Coloquial del norte.
Chapter 3,抗拒,resistencia; rechazo,No todos los jóvenes resisten los elementos tradicionales de la ropa.,Psicológica o física.
Chapter 3,毋庸,no necesita,No hace falta decir que la estética cambia con los tiempos.,Formal.
Chapter 3,成因,causa; factor contribuyente,Los expertos analizaron las causas de esta mentalidad de consumo.,Tono académico.
Chapter 3,预示,presagio,Los brotes que brotan presagian la llegada de la primavera.,Predicción formal.
Chapter 3,凝固,solidificar; congelar (figurativa),"En ese momento, su sonrisa parecía congelada en la foto.",A menudo figurativa en la literatura.
Chapter 3,多变,cambiante; volátil,"El tiempo de primavera es cambiante, por lo que la ropa debe ser fácil de capa.",Describe inestabilidad.
Chapter 3,预料,esperar; anticipar,No esperaba que la vieja prenda encajara tan bien.,Predicción.
Chapter 3,降临,caída; llegada,"La primavera llegó tranquilamente, y las calles pusieron en colores más claros.",Llegada formal.
Chapter 3,微颤,temblor ligeramente,"Su voz tembló un poco, pero aún así terminó la historia.",Movimiento sutil.
Chapter 3,劲风,viento fuerte; gale,"Un viento fuerte levantó el timón de su abrigo, y él agarró su bufanda.",Imágenes meteorológicas.
Chapter 3,相当于,equivalente a;,Este gasto ascendió a los gastos de vida de medio mes.,Comparación.
Chapter 3,效应,efecto,La ropa de nombre de marca a veces produce un efecto de show-off.,Académico/general.
Chapter 3,轻飘,ligero y aireado; delgado,La nieve ligera cayó sobre sus hombros y se derritió inmediatamente.,Textura o moda.
Chapter 3,诡谲,raro; impredecible,La noche era espeluznante e impredecible; los faros se balanceaban en el viento.,Adjetivo literario.
Chapter 3,穿着,vestido; ropa,Su atuendo era simple pero limpio y apropiado.,Noun Focus.
Chapter 3,饮食,dieta; comida y bebida,Una dieta sensible importa más que persiguiendo ciegamente la moda.,Tema de la vida diaria.
Chapter 3,俗世,mundo mortal; mundo secular,Mantuvo una sensibilidad a la belleza en medio del mundo secular.,Literario.
Chapter 3,无可责备,sin culpa; más allá del reproche,"Su manejo fue constante y minucioso, más allá del reproche.",Elogio formal.
Chapter 3,甚或,incluso; o incluso,El cambio incluso afectó los hábitos de vestir cotidianos.,Intensificador formal.
Chapter 3,有助于,ser propicio; ayuda,Leer los clásicos ayuda a mejorar la expresión del lenguaje.,Estructura formal con ave.
Chapter 3,提升,elevado; mejora,El vestido adecuado puede elevar el rodamiento de uno.,Común en el trabajo/vida.
Chapter 3,情趣,encanto; atractivo; gusto,Un ramo añade encanto a una habitación.,Estética positiva.
Chapter 3,良性,benign; positive (cycle),El consumo racional ayuda a formar hábitos positivos.,A menudo азаленные.
Chapter 3,宣泄,vent (emociones); liberación,Escribir es una manera en la que respira sus sentimientos.,Plazo psicológico.
Chapter 3,夕阳,poner el sol; uno de los años posteriores,El sol de puesta teñiba el perchero de ropa por la ventana dorada.,A menudo poético.
Chapter 3,作伴,mantener compañía; acompañar,Mantiene un gato para compañía mientras escribe en casa.,Compañero.
Chapter 3,活力,vitalidad; energía,La ropa de primavera ligera hace que uno se vea más energético.,Calidad positiva.
Chapter 3,关爱,cuidado; mostrar preocupación,La atención parental es un apoyo vital para el crecimiento de un niño.,Cálido término social.
Chapter 3,底层,capa inferior; base,Se preocupa por las necesidades de ropa de los trabajadores de base.,Estratificación social.
Chapter 3,深思,pensar profundamente; reflexionar,Este asunto merece una profunda reflexión.,Reflexión formal.
Chapter 3,体味,sabor; aprecia (experiencia),Sólo saboreando lentamente se puede leer la emoción detrás de las palabras.,Verbo literario.
Chapter 3,松糕鞋,Zapatos de plataforma,"Los zapatos de plataforma eran una vez de moda, pero más tarde se hizo raro.",Moda.
Chapter 3,三娘教子,San Niang enseña a su Hijo (historia de operaciones),El texto menciona esta historia para ilustrar la importancia de la educación familiar.,Referencia cultural.
Chapter 3,性解放,liberación sexual (sentido académico),La lección analiza la idea de liberación sexual en un contexto académico.,Maneja en tono académico neutral.
Chapter 3,新新人类,jóvenes de nueva generación (1990s term),La estética de esta generación difiere de la de los parientes mayores.,Período slang.
Chapter 3,毛蓝布,tela de algodón azul,Como niño llevaba pantalones de algodón azul bruto.,Período material de período.
Chapter 3,喇叭裤,pantalones bell-bottom,Bell-bottoms fueron muy populares en la década de 1970.,Historia de moda.
Chapter 4,蜗牛,caracol; lento ritmo (metaphor),El autor utiliza el caracol como metáfora para la vida lenta en medio de una sociedad de ritmo rápido.,metáfora central en la lección.
Chapter 4,七荤八素,mareo; en un desastre completo,Varios días de horas extraordinarias lo dejaron completamente desorientado.,idioma coloquial.
Chapter 4,怨艾,resentimiento; rancor,No albergar resentimiento en el pasado; aprender a dejar ir importa más.,Nombre literario.
Chapter 4,闲者,persona libre; idler,Aquellos con ocio tienen tiempo para observar los detalles de la vida.,El término de ensayo filosófico.
Chapter 4,连声,en rápida sucesión; repetidamente,El público aplaudió repetidamente; la atmósfera era animada.,Adverbial.
Chapter 4,赞许,aprobar; elogio,El maestro elogió su actitud firme y seria hacia el estudio.,Evaluación positiva.
Chapter 4,属,pertenecer a; categoría,Esta cuestión pertenece a la discusión de estilos de vida y no es necesario que se politice demasiado.,Muchos sentidos; dependientes del contexto.
Chapter 4,版,edición; versión,El libro tiene una edición revisada con contenido más preciso.,El término publicado.
Chapter 4,足以,suficiente para,Algunos ejemplos son suficientes para ilustrar su punto.,Formal.
Chapter 4,接轨,conectarse a (estándares); integrar,El desarrollo urbano necesita alinearse con conceptos verdes.,A menudo económico/estándar.
Chapter 4,步伐,paso; paso,Debemos ajustar nuestro ritmo y no apresurarnos todo.,Literal y figurativo.
Chapter 4,提速,acelerar; acelerar,"Después de que surgiera el tren de alta velocidad, el tiempo de viaje se redujo considerablemente.",La vida moderna.
Chapter 4,超速,velocidad; exceder el límite de velocidad,Acelerar es muy peligroso y debe ser detenido.,Tránsito.
Chapter 4,镜头,lente de cámara; disparo,La cámara lentamente se metió a través de la calle vacía.,Vocabulario multimedia.
Chapter 4,隐去,ocultar; desvanecerse de la vista,"En el atardecer, las montañas distantes gradualmente se desvanecieron de la vista.",Literario.
Chapter 4,起身,levantarse; levantarse,"Se levantó para cerrar la ventana, y la habitación se calmó.",Todos los días.
Chapter 4,卡,atascado; tarjeta (sentido de palabras gemelas),"La computadora se congeló de nuevo, así que tuvo que pausar el trabajo.",Coloquial técnico.
Chapter 4,家人,miembros de la familia,"No importa lo ocupado, reservar tiempo para la familia.",Un término familiar cálido.
Chapter 4,恋人,amante; cariño,La pareja caminaba lentamente en el sol.,Mandato de relación.
Chapter 4,书信,carta; correspondencia,Se mantuvo en contacto con amigos distantes a través de cartas.,Comunicación tradicional.
Chapter 4,灶,cocina estufa; corazón,El hervidor en la estufa hervido con un sonido suave.,Imágenes de la vida en casa.
Chapter 4,往日,días anteriores; el pasado,"En días anteriores, la reunión familiar alrededor de la estufa era cálida.",Nostalgia.
Chapter 4,阖家,toda la familia,El Festival de Primavera es un momento importante para que toda la familia pueda reunirse.,Formal/escrito.
Chapter 4,进餐,comer; comer,Comer lentamente y masticar bien ayuda a la digestión.,Formal para comer.
Chapter 4,天伦之乐,felicidad familiar; alegría doméstica,Ir a casa los fines de semana trae alegría familiar y relajación.,idioma familiar.
Chapter 4,追忆,recogimiento; reminiscencia,Recordó el ritmo más lento de la vida en el pasado.,Recuerdo literario.
Chapter 4,场景,escena; ajuste,La descripción de la escena en la apertura es muy delicada.,término narrativo.
Chapter 4,弹簧,primavera; rebotar (metaphor),"Una primavera rebota después de la presión, como el ritmo de la vida.",metáfora física en texto.
Chapter 4,松弛,relajarse; aflojar,El fin de semana relajó sus nervios tensos.,Opuesta a la tensión.
Chapter 4,有心,intencionalmente; atento,"Quería frenar, pero las llamadas de trabajo interrumpieron.",Intención o cuidado.
Chapter 4,放缓,desaceleración; facilidad,La ciudad comenzó a abogar por un ritmo de vida más lento.,Mandato de política y estilo de vida.
Chapter 4,步子,paso; ritmo,"Sus pasos se ralentizaron, y las escenas de la calle se hicieron más claras.",Coloquial.
Chapter 4,人潮,multitudes; corriente de personas,A la hora de apuros surgen multitudes y el metro está lleno.,Imágenes urbanas.
Chapter 4,蒸汽机,motor de vapor,El motor de vapor cambió cómo los humanos producen bienes.,Historia industrial.
Chapter 4,原意,significado original; intención,La cita fuera del contexto distorsiona la intención original del autor.,Interpretación de texto.
Chapter 4,劳动力,fuerza laboral; fuerza laboral,La edad de vapor liberó grandes cantidades de trabajo.,Período económico.
Chapter 4,随之而起,surge junto con él,"Nuevas tecnologías surgieron junto con ella, y el ritmo de la vida siguió acelerando.",Secuencia formal.
Chapter 4,休闲,ocio; relax,Los fines de semana le gusta leer y relajarse en casa.,Vida moderna.
Chapter 4,增,aumento; añadir,La población urbana ha seguido aumentando en los últimos años.,A menudo en compuestos.
Chapter 4,后期,etapa posterior; último período,Este ensayo fue muy revisado en su etapa posterior.,Período de tiempo.
Chapter 4,大大,considerablemente;,La nueva política acortaba considerablemente el tiempo de aprobación.,Intensificador coloquial.
Chapter 4,精简,simplificación;,La racionalización de las reuniones deja más tiempo para pensar.,Eficiencia positiva.
Chapter 4,冷冰冰,frío (manner),Detrás de los datos de frío de hielo todavía hay calor humano.,Reduplicación.
Chapter 4,失却,perder; perder,El ritmo rápido nos hizo perder paciencia para una conversación lenta.,Literario.
Chapter 4,浪漫,romántico,Todavía mantiene un poco de romance y le gusta caminar por la noche.,Estética positiva.
Chapter 4,悠闲,libre de cuidado,La vida en la pequeña ciudad es tranquila; el tiempo parece lento.,Vida lenta ideal.
Chapter 4,节奏,ritmo; ritmo,Encontrar su propio ritmo importa más que la velocidad ciega.,Tema central de la lección.
Chapter 4,目眩,mareo; deslumbrado,Las luces de neón deslumbran los ojos y pueden hacer perder la dirección.,Sensación física.
Chapter 4,递增,aumentar progresivamente,La presión urbana aumenta año tras año y necesita equilibrio.,Descripción de tendencias.
Chapter 4,分秒必争,cada minuto cuenta; carrera contra el tiempo,Corre contra el tiempo en el trabajo y rara vez se detiene a descansar.,Vida ocupada.
Chapter 4,视为,considerar como,Muchos consideran la concurrencia como un signo de éxito.,Formal.
Chapter 4,等同,equiparado; ser igual a,La eficiencia no puede equipararse con la riqueza de la humanidad.,Comparación.
Chapter 4,懒惰,perezoso,La vida lenta no significa pereza.,A menudo negativo.
Chapter 4,资讯,información; noticias,"Cuanto más información tengamos, más debemos aprender a filtrarla.",Moderno término de medios.
Chapter 4,快捷,rápido y conveniente,Rápido no es igual a alta calidad; conoce tu objetivo.,Vida moderna.
Chapter 4,回报,recompensa; retorno,La gente trabaja y también espera un retorno razonable.,Económico/social.
Chapter 4,理财,gestión de las finanzas; planificación financiera,La planificación financiera racional ayuda a reducir la presión de vida.,Destreza moderna.
Chapter 4,忙碌,ocupado; agitado,"Está ocupado todo el día, pero raramente descansa.",Estado común.
Chapter 4,鼓吹,abogado; predicar (a menudo negativo),Los medios de comunicación no deben predicar ciegamente alto consumo.,A menudo crítico.
Chapter 4,高消费,alto consumo,El alto consumo no necesariamente trae felicidad.,Vida económica.
Chapter 4,模式,modelo; patrón; modo,Necesitamos reflexionar sobre nuestro actual modelo de estilo de vida.,Marco abstracto.
Chapter 4,需求,demanda; necesidad,Las necesidades humanas no son sólo espacio material sino también espiritual.,Económico/psicológica.
Chapter 4,最多,a la mayoría; máximo,Este tramo lleva al menos veinte minutos a pie.,Expresión límite.
Chapter 4,栋,medida palabra para edificios,Un antiguo edificio estaba tranquilo en la esquina a la distancia.,Measure word.
Chapter 4,传媒,medios de comunicación,Los medios de comunicación forman cómo la gente imagina una vida rápida y lenta.,Sociedad moderna.
Chapter 4,豪华,lujoso; lavish,"El lujo no es el mismo que el confort, aún menos la felicidad.",Crítica de consumo.
Chapter 4,渺小,pequeña; insignificante,"En la multitud urbana, el individuo parece pequeño.",Puede ser humilde o negativo.
Chapter 4,寒酸,shabby; en mal gusto,No te burles de vestido; el respeto importa más.,A menudo sobre la apariencia.
Chapter 4,呈现,presente; espectáculo,La obra presenta las contradicciones de la vida moderna.,Pantalla formal.
Chapter 4,上流社会,clase superior; alta sociedad,La novela contrasta con la alta sociedad con las bases.,El término de clase social.
Chapter 4,似,parece;,La noche era de tinta; las luces de la calle salpicaban el camino.,Copula literaria.
Chapter 4,伸手可及,dentro del alcance,Las instalaciones convenientes ponen muchas cosas a su alcance.,La proximidad figurativa.
Chapter 4,遥遥无期,en el futuro indefinido; en ninguna parte a la vista,"Si uno sólo apresura el presente, el descanso se reclina indefinidamente.",Espera mucho.
Chapter 4,昔日,días anteriores; en el pasado,El antiguo callejón se ha convertido en una calle comercial.,Nostalgia formal.
Chapter 4,引发,gatillo; chispa,Este ensayo provocó una discusión sobre la vida lenta.,Causa-efecto.
Chapter 4,亡命,huir por la vida de uno; desesperado,El texto no fomenta la precipitación desesperada y arriesgada por la vida.,Palabra fuerte; context-bound.
Chapter 4,疾奔,prisa; sprint,"Se imprimió para el metro, pero aún lo perdió.",Moción urgente.
Chapter 4,急剧,rápido; agudo,El ritmo de la vida se aceleró fuertemente; muchos se sienten ansiosos.,Intensidad adverb.
Chapter 4,欲念,deseo; deseo,Los anuncios de consumo mueven fácilmente los deseos de la gente.,Filosófica/psicológica.
Chapter 4,刻意,deliberadamente; intencionalmente,Él frenó deliberadamente su discurso para que los oyentes escucharan cada palabra.,Un esfuerzo intencional.
Chapter 4,足够,suficiente; suficiente,Deja suficiente tiempo para dormir cada día para que el cuerpo se recupere.,Adecuado.
Chapter 4,整日,todo el día,Se enfrenta a la computadora todo el día y sus ojos están cansados.,El tiempo.
Chapter 4,预测,predicción; pronóstico,Nadie puede predecir con precisión las tendencias de la próxima temporada.,Estimaciones futuras.
Chapter 4,闲暇,tiempo libre; tiempo libre,"Con ocio para caminar, uno nota árboles y flores a lo largo de la carretera.",Tiempo libre positivo.
Chapter 4,起码,al menos; mínimo,"Al menos, asegúrese de siete horas de sueño al día.",mínimo coloquial.
Chapter 4,沮丧,desecho; desalentamiento,El agotamiento a largo plazo le dejó un poco desalentado.,Emocional bajo.
Chapter 4,过于,excesivamente; también,Perseguir velocidad excesivamente hace que uno ignore el proceso.,Marcador de exceso.
Chapter 4,乐观,optimista,Mantente optimista frente a las presiones de la vida honestamente.,Una mentalidad positiva.
Chapter 4,层次,nivel; capa,La lectura debe tener profundidad; la velocidad sola no es suficiente.,Duración de la estructura.
Chapter 4,专利,patente; derecho exclusivo,La tecnología de las patentes conducía el rápido desarrollo industrial.,Legal/business.
Chapter 4,稀世珍品,tesoro raro,El museo exhibe tesoros raros.,Fuerte rareza.
Chapter 4,快速,rápido; rápido,El transporte rápido acorta la distancia pero comprime el sentido del tiempo.,Palabras clave modernas.
Chapter 4,误导,mislead,La publicidad no debe engañar al público.,Influencia negativa.
Chapter 4,率先,tomar la delantera; ser el primero,Fue el primero en sugerir ralentizar el ritmo del equipo.,Liderazgo.
Chapter 4,质疑,cuestión; desafío,Los lectores tienen derecho a cuestionar las conclusiones del ensayo.,Pensamiento crítico.
Chapter 4,美食,comida gourmet; comida fina,Sólo al ralentizarse se puede saborear una comida excelente.,Vida positiva.
Chapter 4,著称,ser conocido por; ser famoso por,Esta ciudad es conocida por su cocina.,Reputación formal.
Chapter 4,抵制,resistencia; boicot,Trata de resistir la cultura de horas extraordinarias sin sentido.,Oposición activa.
Chapter 4,崇尚,defensor; defensa; reverencia,Más personas sostienen un estilo de vida simple.,Valor positivo.
Chapter 4,批量,en lotes; masa,La producción masiva aumenta la eficiencia pero reduce la individualidad.,Termino industrial.
Chapter 4,全球,mundial; mundial,Las conexiones globales hacen que la información se difunda más rápido.,Alcance internacional.
Chapter 4,众人,la multitud; todos,"La multitud se apresura, rara vez mirando el cielo.",Nombre colectivo.
