Chapter,Word Pair,Word,nuance,grammar_notes,example_1_en,example_2_en
Chapter 3,风行 - 流行,流行 (liúxíng),सामान्य शब्द: किसी समय जनता द्वारा व्यापक रूप से स्वीकार/पसंद; तीव्र गति ज़रूरी नहीं।,"डिग्री क्रिया-विशेषण ले सकता है (很流行, 非常流行); बीमारी फैलने पर भी (流行性感冒)।",आजकल युवाओं में रेट्रो स्टाइल के कपड़े बहुत लोकप्रिय हैं।,इस लोकप्रिय गाने की धुन बहुत सरल है; एक बार सुनते ही याद रह जाती है।
Chapter 3,夸张 - 夸大,夸张 (kuāzhāng),"कभी तटस्थ कलात्मक अतिशयोक्ति, कभी रोज़मर्रा में नाटकीय या भड़कीला व्यवहार।",विशेषण (表情太夸张了) या अलंकार संदर्भ में संज्ञा/क्रिया।,कार्टूनिस्ट अक्सर पात्र के चेहरे की विशेषताएँ उभारने के लिए अतिशयोक्ति का प्रयोग करते हैं।,उसे केवल हल्की चोट लगी; इतना रोना थोड़ा ज़्यादा नाटकीय नहीं?
Chapter 3,夸张 - 夸大,夸大 (kuādà),"नकारात्मक क्रिया: जानबूझकर तथ्य, संख्या या स्थिति बढ़ाकर बताना; बेईमानी का भाव।","केवल सकर्मक क्रिया; स्पष्ट कर्म चाहिए (जैसे 夸大事实, 夸大病情)।","कंपनी के विज्ञापन ने उत्पाद की असली प्रभावशीलता स्पष्ट रूप से बढ़ाकर बताई, धोखाधड़ी का संदेह है।","कठिनाई में हमें तथ्यों पर चलना चाहिए; न छिपाना चाहिए, न बढ़ाकर बताना चाहिए।"
Chapter 4,赞许 - 赞同,赞许 (zànxǔ),"प्रशंसा और मंज़ूरी; अक्सर ऊँचे से नीचे की ओर (बॉस–कर्मचारी, बड़े–छोटे)।",अक्सर संज्ञा (投去赞许的目光) या अमूर्त वस्तु।,"छोटे मिंग ने बुजुर्ग को अपनी सीट दी, देखकर शिक्षक ने प्रशंसा भरी नज़रें डालीं।",उसके नवीन विचार को कंपनी के वरिष्ठ प्रबंधन की एकमत प्रशंसा मिली।
Chapter 4,赞许 - 赞同,赞同 (zàntóng),"विचार या प्रस्ताव से बौद्धिक सहमति; सहकर्मी स्तर, प्रशंसा ज़रूरी नहीं।",केवल क्रिया; अक्सर राय या व्यक्ति कर्म (我赞同你的看法 / 赞同这个方案)।,उसके बाज़ार विश्लेषण के बाद अधिकांश प्रबंधकों ने उसकी राय से सहमति जताई।,मैं गति के लिए उत्पाद की गुणवत्ता बलिदान करने से सहमत नहीं हूँ।
Chapter 4,快捷 - 敏捷,快捷 (kuàijié),"सेवा, प्रणाली, परिवहन, औज़ार या तरीका; समय बचाना, अत्यधिक कुशल।",आमतौर पर अमूर्त सेवा या क्रिया संशोधित करता है (快捷的支付方式)।,आज इंटरनेट से सूचना दुनिया भर में कुछ सेकंड में पहुँच जाती है।,मेट्रो शहर का सबसे तेज़ सार्वजनिक परिवहन है; जाम की चिंता नहीं।
Chapter 4,快捷 - 敏捷,敏捷 (mǐnjié),"शारीरिक गति या मानसिक क्षमता; तेज़, चुस्त, समन्वित।","मानव क्रिया, विचार या शारीरिक गुण (思维敏捷, 身手敏捷)।",उम्र देखकर मत समझिए; उस बुजुर्ग की हरकत अभी भी बहुत चुस्त है।,प्रोग्रामर को तेज़ सोच चाहिए ताकि थोड़े समय में कोड की गलती ढूँढ सके।
Chapter 4,预测 - 推测,预测 (yùcè),"वैज्ञानिक आँकड़े, गणना, सांख्यिकी या मॉडल से भविष्य का अनुमान।","क्रिया या संज्ञा; भविष्य के परिणाम (预测天气, 预测经济走向)।",मौसम विभाग ने कल दोपहर भारी बारिश की भविष्यवाणी की और यात्रा कम करने को कहा।,विशेषज्ञ अगले पाँच वर्षों में AI के रोज़गार बाज़ार पर प्रभाव का अनुमान लगा रहे हैं।
Chapter 4,预测 - 推测,推测 (tuīcè),"सुराग, सबूत या तर्क से अज्ञात तथ्य, भूत या कारण का अनुमान।","क्रिया या संज्ञा; तर्क, मकसद, भूत/वर्तमान कारण (根据线索推测)।",मौके पर पड़े पैरों के निशान से पुलिस ने संदिग्ध की लंबाई लगभग 1.8 मीटर अनुमान लगाई।,उसकी सूजी आँखों से अनुमान लगाया जा सकता है कि उसने अभी ज़ोर से रोया है।
Chapter 4,过于 - 过分,过于 (guòyú),औपचारिक क्रिया-विशेषण: 'अत्यधिक रूप से'; स्थिति या भावनात्मक भावनाओं को वस्तुनिष्ठ रूप से संशोधित करता है।,केवल क्रिया-विशेषण; विशेषण या क्रिया के बाद आना चाहिए; अकेले नहीं खड़ा होता।,"वह काम में अत्यधिक पूर्णतावादी है, जिससे परियोजना की प्रगति धीमी हो गई।",माता-पिता को बच्चों के भविष्य की अत्यधिक चिंता करने की ज़रूरत नहीं; उन्हें स्वतंत्रता दें।
Chapter 4,过于 - 过分,过分 (guòfèn),"विशेषण: व्यवहार, बोल या काम ने नैतिक/स्वीकार्य सीमा पार कर दी; तीव्र नाराज़गी।",विशेषण के रूप में अकेले भी (你太过分了！); क्रिया-विशेषण भी बन सकता है।,आपने सार्वजनिक स्थान पर वेटर को ज़ोर से डांटा; यह व्यवहार सच में हद से ज़्यादा है।,"उसने गलती की, लेकिन सबके सामने घुटने टेकवाना दंड निश्चित ही बहुत ज़्यादा है।"
Chapter 4,快速 - 迅速,快速 (kuàisù),"लगातार अवधि में उच्च गति; तथ्यात्मक, निरंतर तेज़ संचालन।","संज्ञा से पहले विशेषण के रूप में अधिक (快速通道, 快速消费品)।",शहर के तेज़ विकास से पहले के उपनगर अब व्यस्त व्यापारिक क्षेत्र बन गए हैं।,"यह तेज़ सूचना का युग है, लेकिन टुकड़ों में पढ़ने से गहरी सोच खो सकती है।"
Chapter 4,快速 - 迅速,迅速 (xùnsù),तत्काल प्रतिक्रिया या तुरंत बदलाव; ट्रिगर के तुरंत बाद।,"अक्सर क्रिया-विशेषण: तुरंत, बिना देरी के (迅速撤离, 迅速作出反应)।",आग लगने के बाद दमकलकर्मी तुरंत मौके पर पहुँचे और आग पर काबू पाया।,दरवाज़े की खटखट सुनकर पिल्ला तुरंत सोफ़े से कूदकर दरवाज़े पर पूँछ हिलाता हुआ भागा।
Chapter 5,依赖 - 依靠,依赖 (yīlài),"नकारात्मक/प्रतिबंधक: स्वतंत्र न होना, आत्मनिर्भरता की कमी, अस्वस्थ सहारा।",अमूर्त वस्तु (依赖技术); अक्सर '对……产生依赖' संरचना।,"आजकल कई बच्चे माता-पिता की देखरेख पर अत्यधिक निर्भर हैं, स्वयं पढ़ने की क्षमता नहीं।",परीक्षा की चिंता कम करने के लिए लंबे समय तक दवा पर निर्भर रहना स्थायी समाधान नहीं।
Chapter 5,依赖 - 依靠,依靠 (yīkào),"तटस्थ या सकारात्मक: मज़बूत आधार, रक्षक या ज़रूरी सहायता/आय का स्रोत।",क्रिया और संज्ञा दोनों ('आसरा' = कोई जिस पर टिके)।,वर्षों से दूर रहकर भी परिवार का सहारा उसे चलते रहने की मज़बूत पीठ रहा।,"पियानो ग्रेड परीक्षा पास करने के लिए केवल किस्मत पर नहीं, लंबे अभ्यास पर भरोसा करना होगा।"
Chapter 5,营造 - 营建,营造 (yíngzào),"अमूर्त, अदृश्य वातावरण, भाव, सांस्कृतिक माहौल या माहौल बनाना।","लगभग हमेशा वातावरण से जुड़ी अमूर्त संज्ञाएँ (营造氛围, 营造环境)।","माता-पिता को घर में अच्छा, उन्नत कलात्मक माहौल बनाना चाहिए ताकि बच्चे छोटी उम्र से प्रभावित हों।","विद्यालय वर्षगाँठ के लिए शिक्षक-छात्र मिलकर उत्सव का खुशहाल, गर्म माहौल बनाए।"
Chapter 5,营造 - 营建,营建 (yíngjiàn),"केवल बड़े भौतिक ढाँचे, सुविधाएँ या भौगोलिक आधार का निर्माण।","वास्तु या भौगोलिक ठोस संज्ञाएँ (营建住宅区, 营建防护林)।",सरकार शहर के उत्तर में बड़े पैमाने पर पारिस्थितिक सुरक्षा वन बनाने की योजना बना रही है।,सैकड़ों साल पहले इस प्राचीन मंदिर के निर्माण में अपार मानव और भौतिक शक्ति लगी।
Chapter 5,指点 - 指示,指点 (zhǐdiǎn),"सुझाव, संकेत या सलाह; अक्सर विशेषज्ञ-सहकर्मी स्तर पर किसी समस्या में मदद।",सीधे व्यक्ति कर्म भी (谢谢您的指点 / 请指点我一下)।,उस प्रोफ़ेसर के संकेत से अंततः मैं इस सिम्फनी की गहरी अर्थ समझ पाया।,थीसिस विषय पर सीनियर के बिना मेरा ग्रेजुएशन प्रोजेक्ट शायद दो हफ़्ते और लगता।
Chapter 5,指点 - 指示,指示 (zhǐshì),"औपचारिक, प्राधिकारिक आदेश या दिशानिर्देश; ऊपर से नीचे।",संज्ञा (听从领导的指示) या सरकारी प्रशासनिक उपवाक्य कर्म।,हमें ऊपरी विभाग के निर्देश के अनुसार ग्रेड परीक्षा में धोखाधड़ी की पूरी जाँच करनी होगी।,प्रबंधक ने निर्देश भेजा कि सभी कर्मचारी आज काम खत्म करने से पहले मासिक सारांश जमा करें।
Chapter 5,敏捷 - 灵敏,敏捷 (mǐnjié),"मनुष्य की गति, त्वरितता और शारीरिक/मानसिक समन्वय पर।","मानव क्रिया या सोच (思维敏捷, 身手敏捷)।",उसकी सोच बहुत तेज़ है; बहस में वह तुरंत विपक्षी तर्क की कमी ढूँढ लेता है।,वह करतबकारी बहुत चुस्त था और हवा में कठिन करतब आसानी से पूरे करता था।
Chapter 5,敏捷 - 灵敏,灵敏 (língmǐn),"संवेदन क्षमता, इंद्रियों की तीव्रता या उपकरणों की उत्तेजना पर सटीक प्रतिक्रिया।","शरीर की इंद्रियाँ (听觉灵敏) या तकनीकी उपकरण (仪器灵敏, 传感器灵敏)।",प्राकृतिक वातावरण में अक्सर रहने वालों को जीवन की सुंदरता का अधिक सूक्ष्म बोध होता है।,यह नया इलेक्ट्रॉनिक ट्यूनर बहुत संवेदनशील है; तार थोड़ा भी बेसुरा हो तो पकड़ लेता है।
Chapter 5,延伸 - 延长,延伸 (yánshēn),"स्थानिक दिशा या भौगोलिक लंबाई; रेखा, सड़क, सीमा आगे बढ़ना।","केवल स्थान/भूगोल (公路向远方延伸, 视线延伸)।","यह नई हाई-स्पीड रेल पश्चिम की ओर 500 किमी और बढ़ेगी, रास्ते के लोगों को बड़ी सुविधा मिलेगी।",उसकी नज़र खिड़की से होकर सड़क के अंत में स्थित प्रतीकात्मक इमारत तक पहुँच गई।
Chapter 5,延伸 - 延长,延长 (yáncháng),"समय की लंबाई, अवधि या समय-सीमा बढ़ाना।","केवल समय/अवधि (延长寿命, 延长开放时间, 延长截止日期)।",उम्मीदवारों को और समय देने के लिए पुस्तकालय ने खुलने का समय रात तक बढ़ा दिया।,नियमित दिनचर्या और सब्ज़ियाँ खाना आयु बढ़ाने का बुरा तरीका नहीं है।
