Chapter,Grammar Point,use_case,example_1_en,example_2_en,example_3_en
Chapter 3,就此XX,"औपचारिक क्रिया-विशेषण: 'इसी बिंदु पर', 'तुरंत यहीं'; क्रिया/स्थिति का अंत, आरंभ या बदलाव।",मैत्रीपूर्ण वार्ता के बाद दोनों पक्षों ने तुरंत सहयोग समझौता करने का निर्णय लिया।,"छोटी गलतफहमी से दोनों की घनिष्ठ दोस्ती तुरंत समाप्त हो गई, बड़ा अफ़सोस।",अतीत पर झगड़ना बंद करें; दुश्मनी को यहीं मिटा दें।
Chapter 3,无可XX,नकारात्मक उपसर्ग: '...करने का कोई रास्ता नहीं' या 'कुछ भी ... नहीं किया जा सकता'।,इस अचानक आघात के सामने उसने मजबूर मुस्कान दी।,उसके विश्लेषण के पुख्ता सबूत हैं; निष्कर्ष स्वाभाविक रूप से निर्विवाद है।,कंपनी के व्यापारिक रहस्य पर पत्रकार के प्रश्न पर प्रवक्ता ने 'कोई टिप्पणी नहीं' कहा।
Chapter 4,足以,"उपयोग 1: क्रियाओं को संशोधित करता है — 'पर्याप्त है कि', परिणाम के लिए आवश्यक सीमा पूरी।",पिछले कुछ वर्षों का अनुभव उसे पर्यवेक्षक पद के लिए पूरी तरह योग्य बनाता है।,केवल यह एक अटल सबूत अभियुक्त की सभी पुरानी झूठ को उलटने के लिए पर्याप्त है।,खिड़की के बाहर सुंदर पियानो की धुन उसके मन की सारी बेचैनी शांत करने के लिए पर्याप्त है।
Chapter 4,足以,उपयोग 2: नकार ('不足以') या अलंकारिक प्रश्न — अपर्याप्तता या सीमा पर सवाल।,"कुछ त्वरित भुगतान सुविधाजनक हैं, लेकिन केवल इससे सभी बुजुर्ग उपयोगकर्ता नहीं आकर्षित होंगे।",मौखिक माफ़ी उसकी लापरवाही से कंपनी को हुए आर्थिक नुकसान की भरपाई के लिए पर्याप्त नहीं।,क्या इतनी छोटी कठिनाई ही आपको वर्षों से पाले संगीत के सपने को छोड़ने के लिए पर्याप्त है?
Chapter 4,随之而起,साहित्यिक मुहावरा: 'उसके साथ तुरंत उठ खड़ा होना'; प्राथमिक घटना से द्वितीयक परिघटना।,स्मार्टफ़ोन के व्यापक प्रचार के साथ मोबाइल भुगतान और लाइव स्ट्रीमिंग उद्योग उभरे।,बैठक में प्रबंधक ने क्रांतिकारी योजना रखी और कंपनी में तुरंत संदेह की आवाज़ें उठीं।,विश्व स्तर पर पारंपरिक संस्कृति के पुनरुत्थान के साथ हानफू स्टूडियो और पुरातन शैली के ब्रांड उभरे।
Chapter 4,起码,उपयोग 1: क्रिया-विशेषण 'कम से कम / न्यूनतम' — न्यूनतम अपेक्षित सीमा।,इस पेशेवर पियानो ग्रेड परीक्षा को पास करने के लिए रोज़ कम से कम तीन घंटे अभ्यास चाहिए।,वर्तमान प्रगति से इस बड़े जिम का निर्माण कम से कम आधा साल और लगेगा।,"भले काम बहुत व्यस्त हो, बुजुर्गों को फ़ोन करके पूछना तो कम से कम कर ही सकते हैं।"
Chapter 4,起码,उपयोग 2: विशेषण — 'मूलभूत / न्यूनतम' नियम या अपेक्षाएँ जो पालनी ही चाहिए।,दूसरे बोलते समय बीच में न टोकें — यह लोगों के प्रति न्यूनतम सम्मान है।,पत्रकार के रूप में तथ्यों की खोज सबसे मूलभूत पेशेवर नैतिकता है।,आपका अनुमान खोखला है और मूलभूत तर्क की पूरी कमी है।
Chapter 4,过于,"औपचारिक क्रिया-विशेषण: 'अत्यधिक', 'बहुत'; द्वि-अक्षर विशेषण या मनोवैज्ञानिक क्रिया के ठीक बाद; सीमा पार।","निर्णय लेते समय वह अत्यधिक अनिर्णयशील था, इसलिए कीमती निवेश का अवसर चूक गया।",माता-पिता को बच्चों के दैनिक जीवन में अत्यधिक हस्तक्षेप नहीं करना चाहिए; स्वतंत्रता बढ़ाएँ।,"बाज़ार पूर्वानुमान रिपोर्ट का निष्कर्ष अत्यधिक आशावादी लिखा गया, संभावित वित्तीय जोखिम नज़रअंदाज़।"
Chapter 4,以……著称,अत्यधिक औपचारिक लिखित ढाँचा: '...के लिए प्रसिद्ध'। प्रसिद्धि का कारण बताता है।,यह सदी पुराना रेस्तराँ हमेशा से ध्यानपूर्ण सेवा और ताज़ी सामग्री के लिए प्रसिद्ध रहा है।,वह युवा गो खिलाड़ी प्रतियोगिताओं में तेज़ सोच और आक्रामक शैली के लिए प्रसिद्ध है।,यह जियांगन का पुराना जल नगर अपनी सुंदर जल नगरी और गहरी पारंपरिक संस्कृति के लिए विश्व प्रसिद्ध है।
Chapter 4,幸好,क्रिया-विशेषण: 'सौभाग्य से'; बचाव जो आपदा से बचाता है; अक्सर 不然/否则 के साथ।,सौभाग्य से आज बाहर जाते समय छाता ले गया; नहीं तो आधी रात की भारी बारिश में भीग जाता।,"सौभाग्य से पेशेवर बचाव दल तुरंत पहुँचा, मलबे में घायल समय पर बच निकले।",अभी मंच पर भाषण देते समय शब्द भूलने वाला था; सौभाग्य से शिक्षक की प्रशंसा भरी नज़र देखकर धीरे-धीरे शांत हुआ।
Chapter 5,给……以……,अत्यधिक औपचारिक: '[किसी को] [अमूर्त वस्तु] प्रदान करना'। अमूर्त द्वि-अक्षर संज्ञा वाक्यांश के बाद।,मुश्किल में पड़े पारंपरिक कारीगरों को सरकार ने बड़ा वित्तीय सहारा दिया।,शिक्षक की विश्वास भरी नज़र ने मुझे अंतिम पियानो ग्रेड परीक्षा जीतने का विशाल आत्मविश्वास दिया।,जानबूझकर परीक्षा में धोखा करने वालों को स्कूल अवश्य कठोर दंड देगा।
Chapter 5,纯属……,"क्रिया-विशेषण वाक्यांश: 'पूर्णतः', 'केवल'; कोई वैकल्पिक वास्तविकता नहीं।","विदेश की सड़क पर हमारी अचानक मुलाकात पूर्णतः संयोग थी, पहले कोई बात नहीं हुई थी।",उस सांस्कृतिक केंद्र के बंद होने की ऑनलाइन खबर पूर्णतः अफ़वाह है; अंधविश्वास न करें।,छोटी उम्र से इतने उन्नत कलात्मक वातावरण में पलना उसके लिए शुद्ध भाग्य था।
Chapter 5,急于……,"क्रिया संशोधक: 'उतावले से', 'जल्दी [कुछ] करना'; अक्सर जल्दबाज़ी से समस्या का संकेत।","कई माता-पिता बच्चे का पियानो प्रमाणपत्र देखने के उतावले हैं, न्यूनतम आधार अभ्यास भूल जाते हैं।","प्रबंधक की कड़ी पूछताछ में वह अपनी लापरवाही का बहाना बनाने में उतावला था, बात और बिगड़ गई।",नए लोग अक्सर अपनी काबिलियत साबित करने के उतावले होते हैं; शांत होकर अनुभव जमा करना ज़रूरी है।
Chapter 5,至于……,उपयोग 1: विषय परिवर्तन — 'जहाँ तक ... का सवाल है'। ध्यान दूसरे पहलू पर ले जाता है।,अभी मेरी पहली जिम्मेदारी थीसिस लिखना है; नौकरी की बात अगले महीने सोचूँगा।,"नए स्मार्टफ़ोन का हार्डवेयर बहुत मज़बूत है; OS कितना सुविधाजनक है, यह उपयोगकर्ता प्रतिक्रिया पर निर्भर है।","हम आपको प्रतिभा दिखाने का मंच दे सकते हैं; अंत में उभर पाएंगे या नहीं, यह आपके दीर्घकालिक प्रयास पर है।"
Chapter 5,至于……,उपयोग 2: सीमा दिखाना ('इतना आगे नहीं')। अक्सर 不至于 / 何至于 के साथ।,"भले इस बार ग्रेड अच्छा न रहा, आपको इतना गुस्सा कि खाना भी न दें, यह तक नहीं जाना चाहिए।",थोड़ी सी राय में मतभेद पर दोस्ती तोड़ने तक की बात कैसे हो गई?,"भले जीवन थोड़ा कठिन हो, लेकिन एक भरपेट भोजन भी वैसी आशा नहीं बन जाती।"
Chapter 5,予以……,औपचारिक प्रशासनिक सकर्मक क्रिया: '[औपचारिक कार्रवाई/व्यवहार] प्रदान करना'; 给 का औपचारिक रूप।,कंपनी की वित्तीय स्थिति की अफ़वाहों पर PR विभाग आज दोपहर स्पष्टीकरण के लिए प्रेस कॉन्फ्रेंस करेगा।,शहरी पारिस्थितिक वन निर्माण में नागरिकों के समझ और सहयोग के लिए धन्यवाद।,आपका सुझाव बहुत रचनात्मक है; प्रबंधन इस पर गंभीरता से विचार अवश्य करेगा।
